[17][18][16] 	Average population (January 1) 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Crude migration change (per 1000) 	Total fertility rates[a][16]
1937 	25,043,000 	568,977 	475,310 	93,667 	22.7 	19.0 	3.7 	5.7 	2.89
1938 	25,279,000 	508,726 	487,546 	21,180 	20.1 	19.3 	0.1 	9.3 	2.56
1939 	25,517,000 	422,345 	472,611 	-50,266 	16.6 	18.5 	-2.0 	11.4 	2.12
1940 	25,757,000 	631,285 	428,416 	202,869 	24.5 	16.6 	7.9 	1.5 	3.09
1941 	25,999,000 	511,157 	487,748 	23,409 	19.7 	18.8 	0.9 	8.5 	2.47
1942 	26,244,000 	530,845 	387,844 	143,001 	20.2 	14.8 	5.4 	1.5 	2.53
1943 	26,491,000 	606,971 	352,587 	254,384 	22.9 	13.3 	9.6 	-4.7 	2.88
1944 	26,620,000 	602,091 	349,114 	253,796 	22.6 	13.1 	9.5 	-3.9 	2.84
1945 	26,770,000 	621,558 	330,581 	290,977 	23.2 	12.3 	10.9 	-1.2 	2.91
1946 	27,030,000 	585,381 	353,371 	232,010 	21.7 	13.1 	8.6 	-4.2 	2.70
1947 	27,150,000 	588,732 	330,341 	258,391 	21.7 	12.2 	9.5 	6.8 	2.67
1948 	27,593,000 	642,041 	305,310 	336,731 	23.3 	11.1 	12.2 	-4.3 	2.88
1949 	27,811,000 	601,759 	321,541 	280,218 	21.6 	11.6 	10.1 	-3.0 	2.68
1950 	28,009,000 	565,378 	305,934 	259,444 	20.2 	10.9 	9.3 	-1.2 	2.45
1951 	28,236,000 	567,474 	327,236 	240,238 	20.1 	11.6 	8.5 	-0.1 	2.47
1952 	28,474,000 	593,019 	276,735 	316,284 	20.8 	9.7 	11.1 	-2.7 	2.51
1953 	28,713,000 	589,188 	278,522 	310,666 	20.5 	9.7 	10.8 	-2.4 	2.55
1954 	28,955,000 	577,886 	264,668 	313,218 	20.0 	9.1 	10.8 	-2.4 	2.59
1955 	29,199,000 	598,970 	274,188 	324,782 	20.5 	9.4 	11.1 	-2.7 	2.62
1956 	29,445,000 	608,121 	290,410 	317,711 	20.7 	9.9 	10.8 	-2.4 	2.66
1957 	29,693,000 	646,784 	293,502 	353,282 	21.8 	9.9 	11.9 	-3.5 	2.69
1958 	29,943,000 	653,216 	260,683 	392,533 	21.8 	8.7 	13.1 	-4.7 	2.72
1959 	30,195,000 	654,474 	269,591 	384,883 	21.7 	8.9 	12.7 	-4.1 	2.74
1960 	30,455,000 	663,375 	268,941 	394,434 	21.8 	8.8 	13.0 	-3.5 	2.77
1961 	30,744,000 	654,616 	263,441 	391,175 	21.3 	8.6 	12.7 	-2.2 	2.79
1962 	31,067,000 	658,816 	278,575 	380,241 	21.2 	9.0 	12.2 	-1.7 	2.8
1963 	31,393,000 	671,520 	282,460 	389,060 	21.4 	9.0 	12.4 	-1.9 	2.88
1964 	31,723,000 	697,697 	273,955 	423,742 	22.0 	8.6 	13.4 	-2.9 	3.01
1965 	32,056,000 	676,361 	274,271 	402,090 	21.1 	8.6 	12.5 	-2.0 	2.94
1966 	32,394,000 	669,919 	276,173 	393,746 	20.7 	8.5 	12.2 	-1.7 	2.91
1967 	32,734,000 	680,125 	280,494 	399,631 	20.8 	8.6 	12.2 	-1.7 	2.85
1968 	33,079,000 	667,311 	282,628 	384,683 	20.2 	8.5 	11.6 	-1.1 	2.86
1969 	33,427,000 	666,568 	303,402 	363,166 	19.9 	9.1 	10.9 	-0.4 	2.87
1970 	33,779,000 	663,667 	286,067 	377,600 	19.6 	8.5 	11.2 	-3.5 	2.88
1971 	34,040,642 [19] 	672,092 	308,516 	363,576 	19.7 	9.0 	10.6 	0.2 	2.88
1972 	34,408,338 	672,405 	285,508 	386,897 	19.5 	8.3 	11.2 	0.2 	2.86
1973 	34,800,600 	672,963 	301,803 	371,160 	19.3 	8.7 	10.7 	-1.6 	2.84
1974 	35,117,294 	688,711 	300,403 	388,308 	19.6 	8.5 	11.0 	1.9 	2.89
1975 	35,569,375 	669,378 	298,192 	371,186 	18.8 	8.4 	10.5 	0.1 	2.75
1976 	35,946,425 	677,456 	299,007 	378,449 	18.9 	8.3 	10.5 	0.1 	2.68
1977 	36,329,199 	656,357 	294,324 	362,033 	18.1 	8.1 	10.0 	0 	2.59
1978 	36,694,077 	636,892 	296,781 	340,111 	17.3 	8.1 	9.2 	0.1 	2.48
1979 	37,035,719 	601,992 	291,213 	310,779 	16.2 	7.8 	8.4 	0 	2.36
1980 	37,346,940 	571,018 	289,344 	281,674 	15.2 	7.7 	7.5 	0.2 	2.22
1981 	37,635,389 	533,008 	293,386 	239,622 	14.1 	7.8 	6.3 	0.2 	2.09
1982 	37,881,873 	515,706 	286,655 	229,051 	13.6 	7.6 	6.0 	-0.5 	1.96
1983 	38,090,151 	485,352 	302,569 	182,783 	12.7 	7.9 	4.8 	-0.5 	1.84
1984 	38,252,899 	473,281 	299,409 	173,872 	12.4 	7.8 	4.5 	-0.4 	1.73
1985 	38,407,829 	456,298 	312,532 	143,766 	11.9 	8.1 	3.7 	-0.5 	1.64
1986 	38,531,195 	438,750 	310,413 	128,337 	11.4 	8.1 	3.3 	-0.5 	1.56
1987 	38,638,052 	426,782 	310,073 	116,709 	11.0 	8.0 	3.0 	-0.6 	1.50
1988 	38,731,578 	418,919 	319,437 	99,482 	10.8 	8.3 	2.6 	-0.8 	1.45
1989 	38,802,300 	408,434 	324,796 	83,638 	10.5 	8.4 	2.2 	-0.9 	1.40
1990 	38,853,227 	401,425 	333,142 	68,283 	10.3 	8.6 	1.8 	-1.1 	1.36
1991 	38,881,416 	395,989 	337,691 	58,298 	10.2 	8.7 	1.5 	2.9 	1.33
1992 	39,051,336 	396,747 	331,515 	65,232 	10.2 	8.5 	1.7 	3.7 	1.32
1993 	39,264,034 	385,786 	339,661 	46,125 	9.8 	8.7 	1.2 	3.8 	1.26
1994 	39,458,489 	370,148 	338,242 	31,906 	9.4 	8.6 	0.8 	3.8 	1.21
1995 	39,639,726 	363,469 	346,227 	17,242 	9.2 	8.8 	0.4 	3.9 	1.18
1996 	39,808,374 	362,626 	351,449 	11,177 	9.2 	8.9 	0.3 	3.8 	1.17
1997 	39,971,329 	369,035 	349,521 	19,514 	9.3 	8.8 	0.5 	3.8 	1.19
1998 	40,143,449 	365,193 	360,511 	4,682 	9.2 	9.1 	0.1 	3.9 	1.15
1999 	40,303,568 	380,130 	371,102 	9,028 	9.5 	9.3 	0.2 	3.9 	1.20
2000 	40,470,182 	397,632 	360,391 	37,241 	9.9 	9.0 	0.9 	3.9 	1.23
2001 	40,665,545 	406,380 	360,131 	46,249 	10.0 	8.8 	1.1 	8.0 	1.24
2002 	41,035,271 	418,846 	368,618 	50,228 	10.1 	8.9 	1.2 	18.1 	1.26
2003 	41,827,836 	441,881 	384,828 	57,053 	10.5 	9.2 	1.4 	15.8 	1.31
2004 	42,547,454 	454,591 	371,934 	82,657 	10.6 	8.7 	1.9 	15.7 	1.33
2005 	43,296,335 	466,371 	387,355 	79,016 	10.7 	8.9 	1.8 	14.7 	1.35
2006 	44,009,969 	482,957 	371,478 	111,479 	10.9 	8.4 	2.5 	15.1 	1.36
2007 	44,784,659 	492,527 	385,361 	107,166 	10.9 	8.5 	2.4 	17.3 	1.40
2008 	45,668,938 	519,779 	386,324 	133,455 	11.4 	8.4 	3.0 	9.5 	1.46
2009 	46,239,271 	494,997 	384,933 	110,064 	10.7 	8.3 	2.4 	2.9 	1.39
2010 	46,486,621 	486,575 	382,047 	104,528 	10.5 	8.2 	2.3 	1.6 	1.38
2011 	46,667,175 	471,999 	387,911 	84,088 	10.2 	8.3 	1.9 	1.3 	1.34
2012 	46,818,216 	454,648 	402,950 	51,698 	9.7 	8.6 	1.1 	-3.4 	1.32
2013 	46,712,650 	425,715 	390,419 	35,296 	9.1 	8.3 	0.8 	-5.4 	1.27
2014 	46,495,744 	427,595 	395,830 	31,765 	9.1 	8.5 	0.6 	-3.0 	1.32
2015 	46,384,379 	420,290 	422,568 	-2,278 	9.0 	9.1 	-0.1 	0.8 	1.33
2016 	46,418,884 	410,583 	410,611 	-28 	8.8 	8.8 	0.0 	1.7 	1.34
2017 	46,497,393 	393,181 	424,523 	-31,342 	8.4 	9.1 	-0.7 	3.9 	1.31
2018 	46,645,070 	372,777 	427,721 	-54,944 	7.9 	9.1 	-1.2 	7.1 	1.26
2019 	46,918,951 	360,617 	418,703 	-58,086 	7.6 	8.8 	-1.2 	9.7 	1.24
2020 	47,318,050 	341,315 	493,776 	-152,461 	7.2 	10.4 	-3.2 	4.9 	1.19
2021 	47,400,798 	337,380 	450,744 	-113,354 	7.1 	9.5 	-2.4 	4.4 	1.19
2022 	47,496,903 	329,812 	462,370 	-132,588 	6.9 	9.8 	-2,9 	14.8 	1.16
2023 	48,059,777 							
