Data according to Statistik Schweiz, United Nations, Our World in Data and Gapminder Foundation.[18][19][14]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates
1923 	3,883,000 	75,551 	45,983 	29,568 	19.5 	11.8 	7.6 	2.43
1924 	3,896,000 	73,508 	48,988 	24,520 	18.9 	12.6 	6.3 	2.36
1925 	3,910,000 	72,570 	47,877 	24,693 	18.6 	12.2 	6.3 	2.3
1926 	3,932,000 	72,118 	46,452 	25,666 	18.3 	11.8 	6.5 	2.23
1927 	3,956,000 	69,533 	49,202 	20,331 	17.6 	12.4 	5.1 	2.17
1928 	3,988,000 	69,594 	48,063 	21,531 	17.4 	12.1 	5.4 	2.1
1929 	4,022,000 	69,006 	50,438 	18,568 	17.2 	12.5 	4.6 	2.05
1930 	4,051,000 	69,855 	46,939 	22,916 	17.2 	11.6 	5.7 	1.99
1931 	4,080,000 	68,249 	49,414 	18,835 	16.7 	12.1 	4.6 	1.97
1932 	4,102,000 	68,650 	49,911 	18,739 	16.7 	12.2 	4.6 	1.96
1933 	4,122,000 	67,509 	47,181 	20,328 	16.4 	11.4 	4.9 	1.91
1934 	4,140,000 	67,277 	46,806 	20,471 	16.3 	11.3 	4.9 	1.89
1935 	4,155,000 	66,378 	50,233 	16,145 	16.0 	12.1 	3.9 	1.86
1936 	4,168,000 	64,966 	47,650 	17,316 	15.6 	11.4 	4.2 	1.82
1937 	4,180,000 	62,480 	47,274 	15,206 	14.9 	11.3 	3.6 	1.76
1938 	4,192,000 	63,790 	48,576 	15,214 	15.2 	11.6 	3.6 	1.80
1939 	4,206,000 	63,837 	49,484 	14,353 	15.2 	11.8 	3.4 	1.81
1940 	4,226,000 	64,115 	50,759 	13,356 	15.2 	12.0 	3.2 	1.83
1941 	4,254,000 	71,926 	47,336 	24,590 	16.9 	11.1 	5.8 	2.06
1942 	4,286,000 	78,875 	46,928 	31,947 	18.4 	10.9 	7.5 	2.28
1943 	4,323,000 	83,049 	47,409 	35,640 	19.2 	11.0 	8.2 	2.42
1944 	4,364,000 	85,627 	52,336 	33,291 	19.6 	12.0 	7.6 	2.51
1945 	4,412,000 	88,522 	51,086 	37,436 	20.1 	11.6 	8.5 	2.61
1946 	4,467,000 	89,126 	50,276 	38,850 	20.0 	11.3 	8.7 	2.62
1947 	4,524,000 	87,724 	51,384 	36,340 	19.4 	11.4 	8.0 	2.56
1948 	4,582,000 	87,763 	49,679 	38,084 	19.2 	10.8 	8.3 	2.54
1949 	4,639,000 	85,308 	49,497 	35,811 	18.4 	10.7 	7.7 	2.45
1950 	4,694,000 	84,776 	47,372 	37,404 	18.1 	10.1 	8.0 	2.40
1951 	4,749,000 	81,903 	49,952 	31,951 	17.2 	10.5 	6.7 	2.30
1952 	4,815,000 	83,549 	47,624 	35,925 	17.4 	9.9 	7.5 	2.32
1953 	4,878,000 	83,029 	49,684 	33,345 	17.0 	10.2 	6.8 	2.29
1954 	4,929,000 	83,741 	49,113 	34,628 	17.0 	10.0 	7.0 	2.28
1955 	4,980,000 	85,331 	50,366 	34,965 	17.1 	10.1 	7.0 	2.30
1956 	5,045,000 	87,912 	51,573 	36,339 	17.4 	10.2 	7.2 	2.35
1957 	5,126,000 	90,823 	51,066 	39,757 	17.7 	10.0 	7.8 	2.41
1958 	5,199,000 	91,421 	49,281 	42,140 	17.6 	9.5 	8.1 	2.40
1959 	5,259,000 	92,973 	50,077 	42,896 	17.7 	9.5 	8.2 	2.42
1960 	5,362,000 	94,372 	52,094 	42,278 	17.6 	9.7 	7.9 	2.34
1961 	5,434,000 	99,238 	51,004 	48,234 	18.3 	9.4 	8.9 	2.48
1962 	5,574,000 	104,322 	55,125 	49,197 	18.7 	9.9 	8.8 	2.46
1963 	5,694,000 	109,993 	56,989 	53,004 	19.3 	10.0 	9.3 	2.68
1964 	5,789,000 	112,890 	53,609 	59,281 	19.5 	9.3 	10.2 	2.85
1965 	5,856,000 	111,835 	55,547 	56,288 	19.1 	9.5 	9.6 	2.57
1966 	5,918,000 	109,738 	55,804 	53,934 	18.5 	9.4 	9.1 	2.47
1967 	5,992,000 	107,417 	55,142 	52,275 	17.9 	9.2 	8.7 	2.37
1968 	6,068,000 	105,130 	57,342 	47,788 	17.3 	9.4 	7.9 	2.28
1969 	6,136,000 	102,520 	58,002 	44,518 	16.7 	9.5 	7.3 	2.12
1970 	6,181,000 	99,216 	57,091 	42,125 	16.1 	9.2 	6.8 	2.11
1971 	6,213,000 	96,261 	57,856 	38,405 	15.5 	9.3 	6.2 	2.06
1972 	6,261,000 	91,342 	56,489 	34,853 	14.6 	9.0 	5.6 	1.95
1973 	6,307,000 	87,518 	56,990 	30,528 	13.9 	9.0 	4.8 	1.85
1974 	6,341,000 	84,507 	56,403 	28,104 	13.3 	8.9 	4.4 	1.73
1975 	6,339,000 	78,464 	55,924 	22,540 	12.4 	8.8 	3.6 	1.63
1976 	6,303,000 	74,199 	57,095 	17,104 	11.8 	9.1 	2.7 	1.55
1977 	6,281,000 	72,829 	55,658 	17,171 	11.6 	8.9 	2.7 	1.53
1978 	6,281,000 	71,375 	57,718 	13,657 	11.4 	9.2 	2.2 	1.53
1979 	6,294,000 	71,986 	57,454 	14,532 	11.4 	9.1 	2.3 	1.52
1980 	6,319,000 	73,661 	59,097 	14,564 	11.7 	9.4 	2.3 	1.57
1981 	6,354,000 	73,747 	59,763 	13,984 	11.6 	9.4 	2.2 	1.59
1982 	6,391,000 	74,916 	59,204 	15,712 	11.7 	9.3 	2.5 	1.60
1983 	6,419,000 	73,659 	60,756 	12,903 	11.5 	9.5 	2.0 	1.52
1984 	6,442,000 	74,710 	58,602 	16,108 	11.6 	9.1 	2.5 	1.52
1985 	6,470,000 	74,684 	59,583 	15,101 	11.5 	9.2 	2.3 	1.51
1986 	6,504,000 	76,320 	60,105 	16,215 	11.7 	9.2 	2.5 	1.52
1987 	6,545,000 	76,505 	59,511 	16,994 	11.7 	9.1 	2.6 	1.56
1988 	6,593,000 	80,345 	60,648 	19,697 	12.2 	9.2 	3.0 	1.59
1989 	6,647,000 	81,180 	60,882 	20,298 	12.2 	9.2 	3.1 	1.62
1990 	6,712,000 	83,939 	63,739 	20,200 	12.5 	9.5 	3.0 	1.63
1991 	6,800,000 	86,200 	62,634 	23,566 	12.7 	9.2 	3.5 	1.68
1992 	6,875,000 	86,910 	62,302 	24,608 	12.6 	9.1 	3.6 	1.62
1993 	6,938,000 	83,762 	62,512 	21,250 	12.1 	9.0 	3.1 	1.53
1994 	6,994,000 	82,980 	61,987 	20,993 	11.9 	8.9 	3.0 	1.49
1995 	7,041,000 	82,203 	63,387 	18,816 	11.7 	9.0 	2.7 	1.46
1996 	7,072,000 	83,007 	62,637 	20,370 	11.7 	8.9 	2.9 	1.53
1997 	7,089,000 	79,485 	59,967 	19,518 	11.2 	8.5 	2.8 	1.45
1998 	7,110,000 	78,949 	62,569 	16,380 	11.1 	8.8 	2.3 	1.48
1999 	7,144,000 	78,408 	62,503 	15,905 	11.0 	8.7 	2.2 	1.47
2000 	7,184,000 	78,458 	62,528 	15,930 	10.9 	8.7 	2.2 	1.50
2001 	7,230,000 	73,509 	61,287 	12,222 	10.2 	8.5 	1.7 	1.41
2002 	7,285,000 	72,372 	61,768 	10,604 	9.9 	8.5 	1.5 	1.39
2003 	7,339,000 	71,848 	63,070 	8,778 	9.8 	8.6 	1.2 	1.39
2004 	7,390,000 	73,082 	60,180 	12,902 	9.9 	8.1 	1.7 	1.42
2005 	7,437,000 	72,903 	61,124 	11,779 	9.8 	8.2 	1.6 	1.43
2006 	7,484,000 	73,371 	60,283 	13,088 	9.8 	8.1 	1.7 	1.44
2007 	7,551,000 	74,494 	61,089 	13,405 	9.9 	8.1 	1.8 	1.46
2008 	7,648,000 	76,691 	61,233 	15,458 	10.0 	8.0 	2.0 	1.48
2009 	7,742,000 	78,286 	62,476 	15,810 	10.1 	8.1 	2.0 	1.50
2010 	7,858,000 	80,290 	62,553 	17,737 	10.3 	8.0 	2.3 	1.54
2011 	7,952,000 	80,808 	62,091 	18,717 	10.2 	7.8 	2.3 	1.52
2012 	8,003,000 	82,164 	64,173 	17,991 	10.3 	8.0 	2.2 	1.53
2013 	8,021,000 	82,731 	64,961 	17,770 	10.3 	8.0 	2.3 	1.52
2014 	8,220,000 	85,287 	63,938 	21,349 	10.4 	7.8 	2.6 	1.54
2015 	8,325,000 	86,559 	67,606 	18,953 	10.4 	8.1 	2.3 	1.54
2016 	8,417,000 	87,883 	64,964 	22,919 	10.4 	7.7 	2.7 	1.55
2017 	8,482,000 	87,381 	66,971 	20,410 	10.3 	7.9 	2.4 	1.52
2018 	8,542,300 	87,851 	67,088 	20,763 	10.3 	7.9 	2.4 	1.52
2019 	8,603,900 	86,172 	67,780 	18,392 	10.0 	7.9 	2.1 	1.48
2020 	8,667,100 	85,914 	76,195 	9,719 	9.9 	8.8 	1.1 	1.46
2021 	8,736,500 	89,402 	71,074 	18,328 	10.3 	8.2 	2.1 	1.51
2022 	8,812,700 	82,371 	74,425 	7,946 	9.3 	8.5 	0.8 	1.38
