 	Average population (Januari 1) 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1,000) 	Crude death rate (per 1,000) 	Natural change (per 1,000) 	Crude migration change (per 1,000) 	Total fertility rates[fn 1][11][12]
1977 	9,830,000 	121,523 	112,208 	9,315 	12.4 	11.4 	0.9 	0.1 	1.71
1978 	9,840,000 	121,983 	115,060 	6,923 	12.4 	11.7 	0.7 	0.1 	1.69
1979 	9,848,000 	123,658 	112,156 	11,502 	12.6 	11.4 	1.2 	-1.1 	1.69
1980 	9,849,000 	124,794 	114,364 	10,430 	12.7 	11.6 	1.1 	-0.1 	1.69
1981 	9,859,000 	124,827 	113,308 	11,519 	12.7 	11.5 	1.2 	-1.5 	1.67
1982 	9,856,000 	120,382 	112,506 	7,876 	12.2 	11.4 	0.8 	-0.8 	1.61
1983 	9,856,000 	117,395 	114,814 	2,581 	11.9 	11.6 	0.3 	-0.4 	1.56
1984 	9,855,000 	115,790 	110,577 	5,213 	11.7 	11.2 	0.5 	-0.2 	1.53
1985 	9,858,000 	114,283 	112,691 	1,592 	11.6 	11.4 	0.2 	0.2 	1.51
1986 	9,862,000 	117,271 	111,671 	5,600 	11.9 	11.3 	0.6 	0.2 	1.54
1987 	9,870,000 	117,448 	105,840 	11,608 	11.9 	10.7 	1.2 	2.0 	1.57
1988 	9,902,000 	118,764 	104,551 	14,213 	12.0 	10.6 	1.4 	2.2 	1.57
1989 	9,938,000 	120,550 	107,332 	13,218 	12.1 	10.8 	1.3 	1.6 	1.58
1990 	9,967,000 	123,554 	104,545 	19,009 	12.4 	10.5 	1.9 	-0.7 	1.62
1991 	9,978,681 [13] 	125,412 	104,223 	21,189 	12.5 	10.4 	2.1 	2.2 	1.66
1992 	10,021,997 	125,322 	103,858 	21,464 	12.5 	10.3 	2.1 	2.5 	1.65
1993 	10,068,319 	120,835 	106,715 	14,120 	12.0 	10.6 	1.4 	1.8 	1.61
1994 	10,100,341 	116,408 	103,688 	12,720 	11.5 	10.2 	1.3 	1.7 	1.56
1995 	10,130,398 	115,327 	104,710 	10,617 	11.4 	10.3 	1.0 	0.2 	1.56
1996 	10,142,776 	116,262 	104,228 	12,034 	11.4 	10.3 	1.2 	1.5 	1.59
1997 	10,170,226 	116,125 	103,822 	12,303 	11.4 	10.2 	1.2 	1.0 	1.60
1998 	10.192.264 	114,561 	104,607 	9,954 	11.2 	10.3 	1.0 	1.1 	1.60
1999 	10,213,752 	113,710 	104,933 	8,777 	11.1 	10.3 	0.9 	1.6 	1.62
2000 	10,239,085 	115,157 	104,921 	10,236 	11.2 	10.2 	1.0 	1.4 	1.67
2001 	10,263,414 	114,428 	103,474 	10,95 	11.1 	10.1 	1.1 	3.4 	1.67
2002 	10,309,725 	111,484 	105,667 	5,817 	10.8 	10.2 	0.6 	3.9 	1.65
2003 	10,355,844 	112,388 	107,068 	5,320 	10.8 	10.3 	0.5 	3.4 	1.67
2004 	10,396,421 	115,908 	101,964 	13,944 	11.1 	9.8 	1.3 	3.5 	1.72
2005 	10,445,852 	118,290 	103,305 	14,985 	11.3 	9.9 	1.4 	4.9 	1.76
2006 	10,511,382 	121,695 	101,614 	20,081 	11.5 	9.6 	1.9 	5.1 	1.80
2007 	10,584,534 	125,228 	102,060 	23,168 	11.8 	9.6 	2.2 	5.4 	1.82
2008 	10,665,140 	128,049 	104,587 	23,462 	12.0 	9.8 	2.2 	6.0 	1.85
2009 	10,753,080 	127,297 	104,509 	22,788 	11.8 	9.7 	2.1 	6.0 	1.84
2010 	10,839,905 	129,173 	105,094 	24,079 	11.9 	9.7 	2.2 	8.1 	1.85
2011 	10,951,266 	127,655 	104,247 	23,408 	11.7 	9.5 	2.1 	5.6 	1.81
2012 	11,035,948 	126,993 	109,034 	17,959 	11.5 	9.9 	1.6 	4.2 	1.79
2013 	11,099,554 	124,862 	109,295 	15,567 	11.2 	9.8 	1.4 	3.2 	1.75
2014 	11,150,516 	124,415 	104,723 	19,692 	11.2 	9.4 	1.8 	3.4 	1.74
2015 	11,209,044 	121,713 	110,508 	11,205 	10.9 	9.9 	1.0 	4.3 	1.69
2016 	11,267,910 	121,161 	108,056 	13,105 	10.8 	9.6 	1.2 	3.6 	1.68
2017 	11,322,088 	119,102 	109,629 	9,473 	10.5 	9.7 	0.8 	4.0 	1.64
2018 	11,376,070 	117,800 	110,645 	7,155 	10.4 	9.7 	0.6 	4.3 	1.61
2019 	11,431,406 	117,103 	108,745 	8,358 	10.2 	9.5 	0.7 	4.7 	1.60
2020 	11,492,641 	113,739 	126,850 	-13,111 	9.9 	11.0 	-1.1 	3.6 	1.55
2021 	11,521,238 	117,914 	112,291 	5,623 	10.3 	9.8 	0.5 	4.9 	1.60
2022 	11,584,008 	113,593 	116,380 	-2,787 	9.8 	10.1 	-0.3 	10.1 	1.53
2023 	11,697,557 							
