Before WWI
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[29]
1988 	23,053,552 	380,043 	253,370 	126,673 	16.5 	11.0 	5.5 	2.31
1989 	23,151,564 	369,544 	247,306 	122,238 	16.0 	10.7 	5.3 	2.19
1990 	23,206,720 	314,746 	247,086 	67,660 	13.6 	10.6 	2.9 	1.83
1991 	23,185,084 	275,275 	251,760 	23,515 	11.9 	10.9 	1.0 	1.56
1992 	22,788,969 	260,393 	263,855 	-3,462 	11.4 	11.6 	-0.2 	1.50
1993 	22,755,260 	249,994 	263,323 	-13,329 	11.0 	11.6 	-0.6 	1.45
1994 	22,730,622 	246,736 	266,101 	-19,365 	10.9 	11.7 	-0.9 	1.42
1995 	22,680,951 	236,640 	271,672 	-35,032 	10.4 	12.0 	-1.5 	1.34
1996 	22,607,620 	231,348 	286,158 	-54,810 	10.2 	12.7 	-2.4 	1.29
1997 	22,545,925 	236,891 	279,315 	-42,424 	10.5 	12.4 	-1.9 	1.31
1998 	22,502,803 	237,297 	269,166 	-31,869 	10.5 	12.0 	-1.4 	1.33
1999 	22,458,022 	234,600 	265,194 	-30,594 	10.4 	11.8 	-1.4 	1.32
2000 	22,435,205 	234,521 	255,820 	-21,299 	10.5 	11.4 	-0.9 	1.32
2001 	22,408,393 	220,368 	259,603 	-39,235 	9.8 	11.6 	-1.8 	1.23
2002 	21,675,775 	210,529 	269,666 	-59,137 	9.7 	12.4 	-2.7 	1.26
2003 	21,574,365 	212,459 	266,575 	-54,116 	9.8 	12.4 	-2.5 	1.29
2004 	21,451,845 	216,261 	258,890 	-42,629 	10.1 	12.1 	-2.0 	1.32
2005 	21,319,673 	221,020 	262,101 	-41,081 	10.4 	12.3 	-1.9 	1.38
2006 	21,193,749 	219,483 	258,094 	-38,611 	10.4 	12.2 	-1.8 	1.41
2007 	20,882,980 	214,728 	251,965 	-37,237 	10.3 	12.1 	-1.8 	1.43
2008 	20,537,848 	221,900 	253,202 	-31,302 	10.8 	12.3 	-1.5 	1.58
2009 	20,367,437 	222,388 	257,213 	-34,825 	10.9 	12.6 	-1.7 	1.65
2010 	20,246,798 	212,199 	259,723 	-47,524 	10.5 	12.8 	-2.3 	1.58
2011 	20,147,657 	196,242 	251,439 	-55,197 	9.7 	12.5 	-2.7 	1.46
2012 	20,060,182 	180,714 	253,716 	-73,002 	9.0 	12.6 	-3.6 	1.36
2013 	19,988,694 	188,599 	247,475 	-58,876 	9.4 	12.4 	-2.9 	1.45
2014 	19,916,451 	198,740 	254,965 	-56,225 	10.0 	12.8 	-2.8 	1.55
2015 	19,822,250 	201,995 	262,442 	-60,447 	10.2 	13.2 	-3.0 	1.61
2016 	19,706,424 	205,773 	258,404 	-52,631 	10.4 	13.1 	-2.7 	1.68
2017 	19,592,933 	210,590 	262,321 	-51,731 	10.7 	13.4 	-2.6 	1.77
2018 	19,483,840 	210,290 	264,963 	-54,673 	10.8 	13.6 	-2.8 	1.81
2019 	19,394,228 	211,175 	260,877 	-49,702 	10.9 	13.5 	-2.6 	1.86
2020 	19,269,469 	198,302 	298,258 	-99,956 	10.3 	15.5 	-5.2 	1.78
2021 	19,126,302 	193,191 	335,527 	-142,336 	10.1 	17.5 	-7.4 	1.79
2022 	18,958,608 	183,630 	271,989 	-88,359 	9.6 	14.3 	-4.6 	1.59(e)
