6][7]
[8][9][10] 	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1][4][11][12][13]
1941 	7,750,000 	184,336 	134,937 	49,399 	23.8 	17.4 	6.4 	3.12
1942 	7,810,000 	187,503 	126,531 	60,972 	24.0 	16.1 	7.8 	3.14
1943 	7,890,000 	198,101 	121,887 	76,214 	25.1 	15.3 	9.7 	3.27
1944 	7,960,000 	201,373 	119,275 	82,098 	25.3 	14.8 	10.3 	3.28
1945 	8,040,000 	209,131 	115,596 	93,535 	26.0 	14.2 	11.6 	3.39
1946 	8,100,000 	205,825 	120,800 	85,025 	25.4 	14.9 	10.5 	3.29
1947 	8,180,000 	200,488 	110,437 	90,051 	24.5 	13.5 	11.0 	3.14
1948 	8,262,000 	220,981 	107,576 	113,405 	26.7 	13.0 	13.7 	3.42
1949 	8,333,000 	212,260 	117,499 	94,761 	25.5 	14.1 	11.4 	3.23
1950 	8,405,000 	205,163 	102,798 	102,365 	24.4 	12.2 	12.2 	3.1
1951 	8,459,000 	207,870 	105,473 	102,397 	24.6 	12.5 	12.1 	3.1
1952 	8,496,000 	211,213 	100,486 	110,727 	24.9 	11.8 	13.0 	3.1
1953 	8,534,000 	202,135 	97,460 	104,675 	23.7 	11.4 	12.3 	3.1
1954 	8,570,000 	197,536 	95,088 	102,448 	23.0 	11.1 	12.0 	3.1
1955 	8,610,000 	209,790 	99,472 	110,318 	24.4 	11.6 	12.8 	3.1
1956 	8,647,000 	202,667 	106,919 	95,748 	23.4 	12.4 	11.1 	3.11
1957 	8,680,000 	211,494 	101,784 	109,710 	24.4 	11.7 	12.6 	3.12
1958 	8,725,000 	212,467 	91,891 	120,576 	24.4 	10.5 	13.8 	3.13
1959 	8,826,000 	213,062 	97,754 	115,308 	24.3 	11.1 	13.1 	3.15
1960 	8,865,000 	213,895 	95,009 	118,886 	23.9 	10.6 	13.3 	3.16
1961 	8,929,000 	217,516 	99,590 	117,926 	24.3 	11.1 	13.2 	3.18
1962 	8,994,000 	220,200 	96,864 	123,336 	24.4 	10.7 	13.7 	3.18
1963 	9,031,000 	212,152 	98,011 	114,141 	23.4 	10.8 	12.6 	3.19
1964 	9,034,000 	217,136 	96,878 	120,258 	23.8 	10.6 	13.2 	3.19
1965 	8,999,000 	210,299 	95,187 	115,112 	23.0 	10.4 	12.6 	3.18
1966 	8,931,000 	206,940 	100,088 	106,852 	22.7 	11.0 	12 	3.16
1967 	8,875,000 	202,061 	95,816 	106,245 	22.2 	10.5 	11.7 	3.13
1968 	8,837,000 	194,962 	94,661 	100,301 	21.4 	10.4 	11.0 	3.09
1969 	8,758,000 	189,739 	101,088 	88,651 	20.9 	11.1 	9.7 	3.05
1970 	8,663,252 	180,690 	92,854 	87,836 	20.9 	10.7 	10.1 	2.99
1971 	8,624,258 	181,243 	98,355 	82,888 	21.0 	11.4 	9.6 	2.99
1972 	8,636,603 	174,685 	90,025 	84,660 	20.2 	10.4 	9.8 	2.85
1973 	8,629,598 	172,324 	95,239 	77,085 	20.0 	11.0 	8.9 	2.76
1974 	8,879,127 	171,979 	96,837 	75,142 	19.4 	10.9 	8.5 	2.69
1975 	9,307,815 	179,648 	97,750 	81,898 	19.3 	10.5 	8.8 	2.75
1976 	9,403,809 	186,712 	101,843 	84,869 	19.9 	10.8 	9.0 	2.81
1977 	9,507,536 	181,064 	95,917 	85,147 	19.0 	10.1 	9.0 	2.68
1978 	9,608,959 	167,467 	96,042 	71,425 	17.4 	10.0 	7.4 	2.45
1979 	9,713,570 	160,311 	92,566 	67,745 	16.5 	9.5 	7.0 	2.31
1980 	9,818,980 	158,309 	94,794 	63,515 	16.1 	9.7 	6.5 	2.25
1981 	9,883,670 	152,071 	95,728 	56,343 	15.4 	9.7 	5.7 	2.13
1982 	9,939,871 	151,002 	92,379 	58,623 	15.2 	9.3 	5.9 	2.08
1983 	9,975,859 	144,296 	96,179 	48,117 	14.5 	9.6 	4.8 	1.96
1984 	10,016,605 	142,783 	96,975 	45,808 	14.3 	9.7 	4.6 	1.91
1985 	10,030,621 	130,450 	97,085 	33,365 	13.0 	9.7 	3.3 	1.73
1986 	10,034,846 	126,715 	95,521 	31,194 	12.6 	9.5 	3.1 	1.67
1987 	10,025,215 	123,179 	95,102 	28,077 	12.3 	9.5 	2.8 	1.63
1988 	10,014,005 	122,093 	97,844 	24,249 	12.2 	9.8 	2.4 	1.62
1989 	9,995,995 	118,483 	95,743 	22,740 	11.9 	9.6 	2.3 	1.58
1990 	9,970,441 	116,321 	102,768 	13,553 	11.7 	10.3 	1.4 	1.57
1991 	9,950,029 	116,299 	103,882 	12,417 	11.7 	10.4 	1.2 	1.56
1992 	9,954,958 	114,924 	100,638 	14,286 	11.5 	10.1 	1.4 	1.54
1993 	9,974,391 	113,960 	105,950 	8,010 	11.4 	10.6 	0.8 	1.52
1994 	10,008,659 	109,227 	99,232 	9,995 	10.9 	9.9 	1.0 	1.45
1995 	10,043,693 	107,097 	103,475 	3,622 	10.7 	10.3 	0.4 	1.41
1996 	10,084,196 	110,261 	106,881 	3,380 	10.9 	10.6 	0.3 	1.45
1997 	10,133,758 	112,933 	104,778 	8,155 	11.1 	10.3 	0.8 	1.47
1998 	10,186,634 	113,384 	106,198 	7,186 	11.1 	10.4 	0.7 	1.48
1999 	10,249,022 	116,002 	107,871 	8,131 	11.3 	10.5 	0.8 	1.51
2000 	10,330,774 	120,008 	105,364 	14,644 	11.6 	10.2 	1.4 	1.55
2001 	10,394,669 	112,774 	105,092 	7,682 	10.8 	10.1 	0.7 	1.45
2002 	10,444,592 	114,383 	106,258 	8,125 	11.0 	10.2 	0.8 	1.47
2003 	10,473,050 	112,515 	108,795 	3,720 	10.7 	10.4 	0.4 	1.44
2004 	10,494,672 	109,298 	102,012 	7,286 	10.4 	9.7 	0.7 	1.41
2005 	10,511,988 	109,399 	107,464 	1,935 	10.4 	10.2 	0.2 	1.42
2006 	10,532,588 	105,449 	101,990 	3,459 	10.0 	9.7 	0.3 	1.38
2007 	10,553,339 	102,492 	103,512 	-1,020 	9.7 	9.8 	-0.1 	1.35
2008 	10,563,014 	104,594 	104,280 	314 	9.9 	9.9 	0.0 	1.40
2009 	10,573,479 	99,491 	104,434 	-4,943 	9.4 	9.9 	-0.5 	1.35
2010 	10,572,721 	101,381 	105,954 	-4,573 	9.6 	10.0 	-0.4 	1.39
2011 	10,558,950 	96,856 	102,848 	-5,992 	9.2 	9.8 	-0.6 	1.35
2012 	10,503,889 	89,841 	107,612 	-17,771 	8.6 	10.3 	-1.7 	1.28
2013 	10,444,092 	82,787 	106,554 	-23,767 	7.9 	10.2 	-2.3 	1.21
2014 	10,395,121 	82,367 	104,843 	-22,476 	7.9 	10.1 	-2.2 	1.23
2015 	10,368,554 	85,500 	108,539 	-23,039 	8.3 	10.5 	-2.2 	1.30
2016 	10,344,478 	87,126 	110,573 	-23,447 	8.5 	10.7 	-2.3 	1.36
2017 	10,335,770 	86,154 	109,758 	-23,604 	8.4 	10.7 	-2.3 	1.37
2018 	10,333,496 	87,020 	113,051 	-26,031 	8.5 	11.0 	-2.5 	1.41
2019 	10,375,395 	86,579 	111,843 	-25,264 	8.4 	10.9 	-2.4 	1.42
2020 	10,394,297 	84,530 	123,396 	-38,866 	8.2 	12.0 	-3.8 	1.40
2021 	10,421,117 	79,582 	124,802 	-45,220 	7.7 	12.1 	-4.4 	1.34
2022 	10,467,366 	83,671 	124,311 	-40,640 	8.0 	11.9 	-3.9 	1.43 
