Births and deaths in Estonia over time
Live births and deaths over time
Crude birth rate and death rate over time
Marriages and divorces in Estonia over time
Vital statistics for the Governorate of Estonia
The Governorate of Estonia comprised the northern part

of present-day Estonia. The southern part was part of the Governorate of Livonia.[46]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000)
1900 	428,000 	12,487 	8,227 	4,260 	29.2 	19.2 	10.0
1901 	430,000 	12,703 	8,428 	4,275 	29.5 	19.6 	9.9
1902 	434,000 	13,101 	7,724 	5,377 	30.2 	17.8 	12.4
1903 	440,000 	12,704 	8,004 	4,700 	28.9 	18.2 	10.7
1904 	446,000 	12,753 	8,279 	4,474 	28.6 	18.6 	10.0
1905 	449,000 	11,991 	9,694 	2,297 	26.7 	21.6 	5.1
1906 	452,000 	12,417 	8,842 	3,575 	27.4 	19.5 	7.9
1907 	455,000 	12,304 	8,730 	3,574 	27.0 	19.2 	7.9
1908 	459,000 	11,861 	8,495 	3,366 	25.8 	18.5 	7.3
1909 	464,000 	11,970 	8,297 	3,673 	25.8 	17.9 	7.9
1910 	466,000 	12,193 	8,204 	3,989 	26.2 	17.6 	8.6
1911 	472,000 	11,749 	8,976 	2,773 	24.9 	19.0 	5.9
1912 	480,000 	11,900 	8,431 	3,469 	24.8 	17.6 	7.2
1913 	491,000 	11,653 	9,089 	2,564 	23.7 	18.5 	5.2
1914 	506,000 	11,854 	9,212 	2,642 	23.4 	18.2 	5.2
Present Estonia

Source: Statistics Estonia[47]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Infant mortality rate
1933 	1,124,000 	18,208 	16,472 	1,736 	16.2 	14.7 	1.5 		94.0
1934 	1,126,000 	17,305 	15,853 	1,452 	15.4 	14.1 	1.3 		91.1
1935 	1,129,000 	17,891 	16,864 	1,027 	15.8 	14.9 	0.9 		89.3
1936 	1,130,000 	18,222 	17,594 	628 	16.1 	15.6 	0.6 		89.2
1937 	1,131,000 	18,190 	16,614 	1,576 	16.1 	14.7 	1.4 		90.7
1938 	1,133,000 	18,453 	16,496 	1,957 	16.3 	14.6 	1.7 		77.5
1939 	1,128,000 	18,475 	17,101 	1,374 	16.4 	15.2 	1.2 		78.8
1940 	1,096,000 	18,407 	19,024 	-617 	16.8 	17.4 	-0.6 		83.7
1941 	1,044,000 	19,574 	23,702 	-4,128 	18.8 	22.7 	-4.0 		
1942 	1,017,000 	19,242 	20,276 	-1,034 	18.9 	19.9 	-1.0 		91.8
1943 	1,006,000 	16,001 	18,120 	-2,119 	15.9 	18.0 	-2.1 		
1944 	990,000 	15,180 	24,700 	-9,520 	15.3 	24.9 	-9.6 		
1945 	879,000 	14,968 	20,708 	-5,740 	17.0 	23.6 	-6.5 		124.8
1946 	928,000 	19,408 	19,969 	-561 	20.9 	21.5 	-0.6 		96.8
1947 	977,000 	22,721 	21,492 	1,229 	23.3 	22.0 	1.3 		121.4
1948 	1,026,000 	21,777 	17,549 	4,228 	21.2 	17.1 	4.1 		84.2
1949 	1,074,000 	21,770 	16,730 	5,040 	20.3 	15.6 	4.7 		82.4
1950 	1,101,000 	20,279 	15,817 	4,462 	18.4 	14.4 	4.1 		81.2
1951 	1,114,000 	20,730 	15,354 	5,376 	18.6 	13.7 	4.8 		76.2
1952 	1,126,000 	21,111 	15,817 	5,294 	18.7 	14.0 	4.7 		64.9
1953 	1,138,000 	20,146 	14,420 	5,726 	17.7 	12.7 	5.0 		52.2
1954 	1,149,000 	20,909 	13,981 	6,928 	18.2 	12.2 	6.0 		49.5
1955 	1,160,000 	20,786 	13,638 	7,148 	17.9 	11.8 	6.2 		51.6
1956 	1,171,000 	19,660 	12,748 	6,912 	16.8 	10.9 	5.9 		41.2
1957 	1,181,000 	19,509 	13,026 	6,483 	16.5 	11.0 	5.5 		40.1
1958 	1,192,000 	19,598 	12,971 	6,627 	16.4 	10.9 	5.6 		39.9
1959 	1,203,000 	19,938 	13,130 	6,808 	16.5 	10.9 	5.7 		31.7
1960 	1,216,000 	20,187 	12,738 	7,449 	16.6 	10.5 	6.1 	1.95 	31.1
1961 	1,229,000 	20,230 	13,036 	7,194 	16.5 	10.6 	5.9 	1.97 	28.0
1962 	1,243,000 	19,959 	13,495 	6,464 	16.1 	10.9 	5.2 	1.95 	25.2
1963 	1,258,000 	19,275 	13,251 	6,024 	15.3 	10.5 	4.8 	1.91 	26.0
1964 	1,276,000 	19,629 	12,754 	6,875 	15.4 	10.0 	5.4 	1.94 	25.4
1965 	1,291,000 	18,909 	13,520 	5,389 	14.6 	10.5 	4.2 	1.90 	20.3
1966 	1,303,000 	18,629 	13,800 	4,829 	14.3 	10.6 	3.7 	1.85 	20.0
1967 	1,314,000 	18,671 	13,699 	4,972 	14.2 	10.4 	3.8 	1.86 	19.2
1968 	1,327,000 	19,782 	14,225 	5,557 	14.9 	10.7 	4.2 	2.03 	18.0
1969 	1,345,000 	20,781 	15,150 	5,631 	15.5 	11.3 	4.2 	2.11 	16.7
1970 	1,360,000 	21,552 	15,186 	6,366 	15.8 	11.2 	4.7 	2.16 	17.7
1971 	1,377,000 	22,118 	15,038 	7,080 	16.1 	10.9 	5.1 	2.19 	17.5
1972 	1,393,000 	21,757 	15,520 	6,237 	15.6 	11.1 	4.5 	2.14 	15.9
1973 	1,406,000 	21,239 	15,573 	5,666 	15.1 	11.1 	4.0 	2.07 	15.9
1974 	1,418,000 	21,461 	15,393 	6,068 	15.1 	10.9 	4.3 	2.07 	17.6
1975 	1,429,000 	21,360 	16,572 	4,788 	14.9 	11.6 	3.4 	2.04 	18.2
1976 	1,440,000 	21,801 	17,351 	4,450 	15.1 	12.0 	3.1 	2.06 	17.5
1977 	1,450,000 	21,977 	17,094 	4,883 	15.2 	11.8 	3.4 	2.06 	17.5
1978 	1,460,000 	21,842 	17,812 	4,030 	15.0 	12.2 	2.8 	2.02 	16.5
1979 	1,468,000 	21,879 	18,062 	3,817 	14.9 	12.3 	2.6 	2.01 	18.3
1980 	1,477,000 	22,204 	18,199 	4,005 	15.0 	12.3 	2.7 	2.02 	17.1
1981 	1,488,000 	22,937 	18,349 	4,588 	15.4 	12.3 	3.1 	2.07 	17.0
1982 	1,498,000 	23,128 	17,893 	5,235 	15.4 	11.9 	3.5 	2.08 	17.2
1983 	1,509,000 	24,155 	18,190 	5,965 	16.0 	12.1 	4.0 	2.16 	16.1
1984 	1,519,000 	24,234 	19,086 	5,148 	16.0 	12.6 	3.4 	2.17 	13.6
1985 	1,529,000 	23,630 	19,343 	4,287 	15.5 	12.7 	2.8 	2.12 	14.1
1986 	1,540,000 	24,106 	17,986 	6,120 	15.7 	11.7 	4.0 	2.17 	15.9
1987 	1,552,000 	25,086 	18,279 	6,807 	16.2 	11.8 	4.4 	2.26 	16.0
1988 	1,562,000 	25,060 	18,551 	6,509 	16.0 	11.9 	4.2 	2.26 	12.4
1989 	1,568,000 	24,318 	18,536 	5,762 	15.5 	11.8 	3.7 	2.22 	14.8
1990 	1,569,000 	22,304 	19,531 	2,778 	14.2 	12.4 	1.8 	2.05 	12.3
1991 	1,561,000 	19,413 	19,715 	-302 	12.4 	12.6 	-0.2 	1.80 	13.3
1992 	1,533,000 	18,038 	20,126 	-2,088 	11.8 	13.1 	-1.4 	1.71 	15.7
1993 	1,494,000 	15,253 	21,286 	-6,033 	10.2 	14.2 	-4.0 	1.49 	15.6
1994 	1,463,000 	14,176 	22,212 	-8,036 	9.7 	15.2 	-5.5 	1.42 	14.4
1995 	1,437,000 	13,509 	20,828 	-7,319 	9.4 	14.5 	-5.1 	1.38 	14.9
1996 	1,416,000 	13,242 	19,020 	-5,778 	9.4 	13.4 	-4.1 	1.37 	10.5
1997 	1,400,000 	12,577 	18,572 	-5,995 	9.0 	13.3 	-4.3 	1.32 	10.0
1998 	1,386,000 	12,167 	19,445 	-7,278 	8.8 	14.0 	-5.3 	1.28 	9.4
1999 	1,376,000 	12,425 	18,447 	-6,022 	9.0 	13.4 	-4.4 	1.32 	9.6
20001 	1,397,000 	13,067 	18,403 	-5,336 	9.4 	13.2 	-3.8 	1.35 	8.4
2001 	1,388,000 	12,632 	18,516 	-5,884 	9.1 	13.2 	-4.2 	1.31 	8.8
2002 	1,379,000 	13,001 	18,355 	-5,354 	9.4 	13.3 	-3.9 	1.36 	5.7
2003 	1,371,000 	13,036 	18,152 	-5,116 	9.5 	13.2 	-3.7 	1.36 	7.0
2004 	1,363,000 	13,992 	17,685 	-3,693 	10.3 	13.0 	-2.7 	1.47 	6.4
2005 	1,355,000 	14,350 	17,316 	-2,966 	10.6 	12.8 	-2.2 	1.52 	5.4
2006 	1,347,000 	14,877 	17,316 	-2,439 	11.0 	12.9 	-1.8 	1.58 	4.4
2007 	1,341,000 	15,775 	17,409 	-1,634 	11.8 	13.0 	-1.2 	1.69 	5.0
2008 	1,337,000 	16,028 	16,675 	-647 	12.0 	12.5 	-0.5 	1.72 	5.0
2009 	1,335,000 	15,763 	16,081 	-318 	11.8 	12.1 	-0.2 	1.70 	3.6
2010 	1,332,000 	15,825 	15,790 	35 	11.9 	11.9 	0.0 	1.72 	3.3
2011 	1,327,000 	14,679 	15,244 	-565 	11.0 	11.4 	-0.4 	1.61 	2.5
2012 	1,323,000 	14,056 	15,450 	-1,394 	10.6 	11.7 	-1.1 	1.56 	3.6
2013 	1,318,000 	13,531 	15,244 	-1,713 	10.3 	11.6 	-1.3 	1.52 	2.1
2014 	1,314,000 	13,551 	15,484 	-1,933 	10.3 	11.8 	-1.5 	1.54 	2.7
2015 	1,314,000 	13,907 	15,243 	-1,336 	10.6 	11.6 	-1.0 	1.58 	2.5
2016 	1,316,000 	14,053 	15,392 	-1,339 	10.7 	11.7 	-1.0 	1.60 	2.3
2017 	1,317,000 	13,784 	15,543 	-1,759 	10.5 	11.8 	-1.3 	1.59 	2.3
2018 	1,322,000 	14,367 	15,751 	-1,384 	10.9 	11.9 	-1.0 	1.67 	1.6
2019 	1,327,000 	14,099 	15,401 	-1,302 	10.6 	11.6 	-1.0 	1.66 	1.6
2020 	1,329,000 	13,209 	15,811 	-2,602 	9.9 	11.9 	-2.0 	1.58 	1.4
2021 	1,331,000 	13,272 	18,587 	-5,315 	10.0 	14.0 	-4.0 	1.61 	2.2
2022 	1,349,000 	11,646 	17,315 	-5,669 	8.6 	12.8 	-4.2 	1.41 	2.2
2023 	1,365,884 
