 	Population per 1 Jan. 	Live births1 	Deaths1 	Natural change1 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Fertility rates
2003 	3,965,800 	45,450 	47,114 	-1,664 	10.3 	10.7 	-0.4 	1.56
2004 	3,937,700 	45,751 	49,746 	-3,995 	10.3 	11.2 	-0.9 	1.58
2005 	3,917,000 	46,063 	49,534 	-3,471 	10.4 	11.1 	-0.7 	1.59
2006 	3,888,000 	46,845 	50,014 	-3,169 	10.6 	11.2 	-0.6 	1.62
2007 	3,872,700 	48,499 	50,204 	-1,705 	11.1 	11.4 	-0.3 	1.69
2008 	3,847,600 	52,442 	50,490 	1,952 	13.6 	13.1 	0.5 	1.84
2009 	3,829,000 	56,568 	50,794 	5,774 	14.8 	13.3 	1.5 	2.01
2010 	3,799,800 	55,230 	51,066 	4,164 	14.6 	13.5 	1.1 	2.00
2011 	3,773,600 	51,565 	49,818 	1,747 	13.7 	13.3 	0.4 	1.89
2012 	3,739,300 	49,969 	49,347 	622 	13.4 	13.2 	0.2 	1.85
2013 	3,718,400 	49,657 	48,564 	1,093 	13.4 	13.1 	0.3 	1.86
2014 	3,716,900 	60,635 	49,087 	11,548 	16.3 	13.2 	3.1 	2.31
2015 	3,721,900 	59,249 	49,121 	10,128 	15.9 	13.2 	2.7 	2.31
2016 	3,728,600 	56,569 	50,771 	5,798 	15.2 	13.7 	1.5 	2.24
2017 	3,721,900 	53,293 	47,822 	5,471 	14.3 	12.9 	1.4 	2.14
2018 	3,729,600 	51,138 	46,524 	4,614 	13.7 	12.5 	1.2 	2.12
2019 	3,723,500 	48,296 	46,659 	1,637 	13.0 	12.5 	0.4 	2.01
2020 	3,716,900 	46,520 	50,537 	-4,017 	12.5 	13.6 	-1.1 	1.97
2021 	3,728,600 	45,946 	59,906 	-13,960 	12.3 	16.1 	-3.8 	1.98
2022 	3,688,647 	42,319 	49,118 	-6,799 	11.5 	13.3 	-1.8 	1.82
