Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/28/2022,United States,2021,44,2021-11-06,66625,60294,816,11710,2020,2316,908,2893,939,1076,736,13423,3243,7302,6511,,,,,,,,,,,,,,,
09/28/2022,United States,2021,45,2021-11-13,67468,61496,832,11918,2066,2483,829,2791,955,1069,789,13788,3278,7174,6472,,,,,,,,,,,,,,,
09/28/2022,United States,2021,46,2021-11-20,66990,61056,815,11650,2008,2421,914,2809,933,1073,720,13822,3205,7326,6550,,,,,,,,,,,,,,,
09/28/2022,United States,2021,47,2021-11-27,67970,62181,902,11717,2082,2444,882,2861,944,1031,759,14009,3314,7898,7078,,,,,,,,,,,,,,,
09/28/2022,United States,2021,48,2021-12-04,70182,64113,891,11863,2068,2401,948,2904,934,1171,822,14275,3395,8792,7993,,,,,,,,,,,,,,,
09/28/2022,United States,2021,49,2021-12-11,72151,66093,817,12100,2121,2384,1053,3091,991,1102,800,14657,3360,9744,8864,,,,,,,,,,,,,,,
09/28/2022,United States,2021,50,2021-12-18,71355,65435,859,11672,2132,2432,998,3056,988,1123,776,14383,3357,10268,9381,,,,,,,,,,,,,,,
09/28/2022,United States,2021,51,2021-12-25,72326,66513,859,11853,2108,2542,1080,3145,970,1168,864,14747,3317,10474,9477,,,,,,,,,,,,,,,
09/28/2022,United States,2021,52,2022-01-01,74428,68517,910,11673,2297,2497,1146,3177,960,1245,942,15010,3350,11690,10497,,,,,,,,,,,,,,,
09/28/2022,United States,2022,1,2022-01-08,79733,73809,968,11962,2412,2618,1226,3394,1050,1306,881,16112,3482,15113,13257,,,,,,,,,,,,,,,
09/28/2022,United States,2022,2,2022-01-15,85037,79100,956,12263,2542,3005,1132,3312,1073,1339,840,16506,3779,19083,16628,,,,,,,,,,,,,,,
09/28/2022,United States,2022,3,2022-01-22,85576,79770,868,11956,2587,2946,1099,3217,994,1345,898,16151,3820,21337,18401,,,,,,,,,,,,,,,
09/28/2022,United States,2022,4,2022-01-29,84986,79231,885,11911,2454,2979,1046,3268,1037,1287,899,16006,3754,20958,17996,,,,,,,,,,,,,,,
09/28/2022,United States,2022,5,2022-02-05,81108,75122,850,11726,2405,2950,978,3104,971,1271,812,15410,3528,18723,15762,,,,,,,,,,,,,,,
09/28/2022,United States,2022,6,2022-02-12,77013,70938,843,11811,2212,2742,947,3018,952,1278,885,14888,3614,15300,12665,,,,,,,,,,,,,,,
09/28/2022,United States,2022,7,2022-02-19,70798,64857,847,11619,2000,2498,826,2872,941,1189,872,14286,3358,11523,9280,,,,,,,,,,,,,,,
09/28/2022,United States,2022,8,2022-02-26,65957,60233,813,11240,1924,2407,860,2785,895,1185,860,13620,3343,8259,6477,,,,,,,,,,,,,,,
09/28/2022,United States,2022,9,2022-03-05,64379,58457,844,11538,2021,2310,869,2770,972,1195,869,13602,3299,6028,4612,,,,,,,,,,,,,,,
09/28/2022,United States,2022,10,2022-03-12,61753,55916,798,11495,1942,2173,789,2757,889,1199,831,13428,3212,4382,3204,,,,,,,,,,,,,,,
09/28/2022,United States,2022,11,2022-03-19,60474,54698,782,11544,1954,2140,784,2822,947,1089,899,13349,3102,3112,2102,,,,,,,,,,,,,,,
09/28/2022,United States,2022,12,2022-03-26,58518,53123,827,11392,1907,2104,770,2678,857,1141,931,12858,3044,2491,1616,,,,,,,,,,,,,,,
09/28/2022,United States,2022,13,2022-04-02,57929,52518,767,11476,1787,2051,742,2706,920,1113,960,12741,3103,1896,1141,,,,,,,,,,,,,,,
09/28/2022,United States,2022,14,2022-04-09,57689,52213,754,11412,1859,2106,777,2710,868,1114,916,12997,3018,1545,899,,,,,,,,,,,,,,,
09/28/2022,United States,2022,15,2022-04-16,57692,52275,780,11458,1802,2131,806,2681,911,1031,1042,12918,3068,1393,800,,,,,,,,,,,,,,,
09/28/2022,United States,2022,16,2022-04-23,56636,51303,731,11296,1758,2035,726,2643,850,1061,981,12732,3130,1341,784,,,,,,,,,,,,,,,
09/28/2022,United States,2022,17,2022-04-30,57209,51799,793,11390,1796,2079,772,2703,866,1066,1090,12675,3069,1408,840,,,,,,,,,,,,,,,
09/28/2022,United States,2022,18,2022-05-07,57406,51861,718,11243,1814,2148,753,2829,889,1044,1146,12731,2952,1416,858,,,,,,,,,,,,,,,
09/28/2022,United States,2022,19,2022-05-14,57829,52353,801,11583,1794,2089,778,2650,841,1019,1206,12856,2959,1661,1043,,,,,,,,,,,,,,,
09/28/2022,United States,2022,20,2022-05-21,57536,52138,799,11634,1711,2051,802,2785,812,1081,1189,12503,2977,1731,1084,,,,,,,,,,,,,,,
09/28/2022,United States,2022,21,2022-05-28,56948,51798,711,11339,1750,2153,741,2615,851,1038,1331,12290,2975,1922,1285,,,,,,,,,,,,,,,
09/28/2022,United States,2022,22,2022-06-04,57403,51993,739,11310,1757,2166,772,2713,889,1035,1437,12399,2975,1971,1297,,,,,,,,,,,,,,,
09/28/2022,United States,2022,23,2022-06-11,57834,52554,770,11620,1693,2162,726,2606,858,1046,1649,12543,2959,2100,1384,,,,,,,,,,,,,,,
09/28/2022,United States,2022,24,2022-06-18,57539,52326,742,11162,1815,2074,763,2662,866,1031,1713,12550,2972,2172,1424,,,,,,,,,,,,,,,
09/28/2022,United States,2022,25,2022-06-25,57983,52877,767,11526,1798,2049,689,2652,839,1081,1946,12483,2968,2284,1503,,,,,,,,,,,,,,,
09/28/2022,United States,2022,26,2022-07-02,57714,52922,789,11612,1769,2108,700,2540,871,1011,2225,12359,2956,2376,1565,,,,,,,,,,,,,,,
09/28/2022,United States,2022,27,2022-07-09,57640,52930,786,11350,1741,2105,702,2551,866,1041,2464,12217,2998,2528,1687,,,,,,,,,,,,,,,
09/28/2022,United States,2022,28,2022-07-16,57837,53295,752,11410,1743,2075,659,2501,879,998,2646,12335,2917,2848,1943,,,,,,,,,,,,,,,
09/28/2022,United States,2022,29,2022-07-23,59095,54729,777,11631,1759,2185,703,2525,874,1012,2985,12312,3057,3141,2099,,,,,,,,,,,,,,,
09/28/2022,United States,2022,30,2022-07-30,57791,53846,716,11527,1761,2098,646,2419,900,1037,3081,12178,2875,3291,2216,,,,,,,,,,,,,,,
09/28/2022,United States,2022,31,2022-08-06,57880,54078,756,11458,1656,2171,661,2546,820,1062,3469,12045,2889,3231,2196,,,,,,,,,,,,,,,
09/28/2022,United States,2022,32,2022-08-13,56930,53451,740,11520,1650,2036,640,2430,825,991,3571,11692,2879,3139,2137,,,,,,,,,,,,,,,
09/28/2022,United States,2022,33,2022-08-20,56118,53085,719,11476,1675,2080,608,2444,847,985,3350,11587,3002,2994,2030,,,,,,,,,,,,,,,
09/28/2022,United States,2022,34,2022-08-27,54772,52052,738,11189,1561,2110,613,2387,850,923,3536,11352,2875,2808,1833,,,,,,,,,,,,,,,
09/28/2022,United States,2022,35,2022-09-03,51872,49871,630,11146,1502,1986,557,2346,787,941,3712,10626,2751,2552,1651,,,,,,,,,,,,,,,
09/28/2022,United States,2022,36,2022-09-10,46970,46293,615,10019,1386,1890,587,2180,726,863,3678,9990,2524,2244,1459,,,,,,,,,,,,,,,
09/28/2022,United States,2022,37,2022-09-17,38381,38378,528,8841,1070,1678,479,1890,633,745,2576,8079,2106,1717,1094,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
09/28/2022,Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,9,2020-02-29,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/28/2022,Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/28/2022,Alabama,2020,13,2020-03-28,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,15,2020-04-11,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,16,2020-04-18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,17,2020-04-25,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,18,2020-05-02,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,20,2020-05-16,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,21,2020-05-23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,25,2020-06-20,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
09/28/2022,Alabama,2020,27,2020-07-04,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119,,,,,,,,,Suppressed (counts 1-9),,,,,,
