Source: Croatian Bureau of Statistics[31][32][33]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1980 	4,599,782 	68,220 	50,100 	18,120 	14.8 	10.9 	3.9 	1.92 	1,162,773
1981 	4,611,509 	67,455 	51,420 	16,035 	14.6 	11.2 	3.5 	1.93 	1,152,704
1982 	4,634,234 	66,737 	50,770 	15,967 	14.4 	11.0 	3.4 	1.90 	1,130,858
1983 	4,658,254 	65,599 	55,147 	10,452 	14.1 	11.8 	2.2 	1.88 	1,139,362
1984 	4,680,285 	64,888 	54,169 	10,719 	13.9 	11.6 	2.3 	1.87 	1,131,152
1985 	4,701,417 	62,665 	52,067 	10,598 	13.3 	11.1 	2.3 	1.82 	1,117,142
1986 	4,721,446 	60,226 	51,740 	8,486 	12.8 	11.0 	1.8 	1.76 	1,161,753
1987 	4,739,745 	59,209 	53,080 	6,129 	12.5 	11.2 	1.3 	1.74 	1,102,815
1988 	4,755,207 	58,525 	52,686 	5,839 	12.3 	11.1 	1.2 	1.74 	1,125,627
1989 	4,767,260 	55,651 	52,569 	3,082 	11.7 	11.0 	0.6 	1.67 	1,169,437
1990 	4,777,368 	55,409 	52,192 	3,217 	11.6 	10.9 	0.7 	1.68 	1,134,934
1991 	4,733,938 	51,829 	54,832 	-3,003 	10.9 	11.6 	-0.6 	1.59 	1,125,917
1992 	4,690,509 	46,970 	51,800 	-4,830 	10.0 	11.0 	-1.0 	1.46 	1,116,900
1993 	4,647,079 	48,535 	50,846 	-2,311 	10.4 	10.9 	-0.5 	1.52 	1,107,883
1994 	4,603,649 	48,584 	49,482 	-898 	10.6 	10.7 	-0.2 	1.54 	1,098,867
1995 	4,560,220 	50,182 	50,536 	-354 	11.0 	11.1 	-0.1 	1.62 	1,089,849
1996 	4,516,790 	53,811 	50,636 	3,175 	11.9 	11.2 	0.7 	1.76 	1,080,833
1997 	4,473,361 	55,501 	51,964 	3,537 	12.4 	11.6 	0.8 	1.84 	1,071,815
1998 	4,429,931 	47,068 	52,311 	-5,243 	10.6 	11.8 	-1.2 	1.59 	1,062,799
1999 	4,386,501 	45,179 	51,953 	-6,774 	10.3 	11.8 	-1.5 	1.55 	1,053,782
2000 	4,343,072 	43,746 	50,246 	-6,500 	10.1 	11.6 	-1.5 	1.52 	1,044,765
2001 	4,299,642 	40,993 	49,552 	-8,559 	9.5 	11.5 	-2.0 	1.45 	1,035,748
2002 	4,302,174 	40,094 	50,569 	-10,475 	9.3 	11.8 	-2.4 	1.43 	1,033,822
2003 	4,303,399 	39,668 	52,575 	-12,907 	9.2 	12.2 	-3.0 	1.41 	1,029,271
2004 	4,304,600 	40,307 	49,756 	-9,449 	9.4 	11.6 	-2.2 	1.43 	1,025,538
2005 	4,310,145 	42,492 	51,790 	-9,298 	9.9 	12.0 	-2.2 	1.50 	1,019,358
2006 	4,311,159 	41,446 	50,378 	-8,932 	9.6 	11.7 	-2.1 	1.47 	1,012,512
2007 	4,310,217 	41,910 	52,367 	-10,457 	9.7 	12.1 	-2.4 	1.49 	1,005,073
2008 	4,309,705 	43,753 	52,151 	-8,398 	10.2 	12.1 	-1.9 	1.56 	998,329
2009 	4,305,181 	44,577 	52,414 	-7,837 	10.4 	12.2 	-1.8 	1.59 	989,751
2010 	4,295,427 	43,361 	52,096 	-8,735 	10.1 	12.1 	-2.0 	1.55 	979,563
2011 	4,280,622 	41,197 	51,019 	-9,822 	9.6 	11.9 	-2.3 	1.48 	970,458
2012 	4,267,558 	41,771 	51,710 	-9,939 	9.8 	12.1 	-2.3 	1.52 	962,279
2013 	4,255,689 	39,939 	50,386 	-10,447 	9.4 	11.8 	-2.5 	1.46 	954,525
2014 	4,238,389 	39,566 	50,839 	-11,273 	9.3 	12.0 	-2.7 	1.46 	945,333
2015 	4,203,604 	37,503 	54,205 	-16,702 	8.9 	12.9 	-4.0 	1.41 	930,899
2016 	4,174,349 	37,537 	51,542 	-14,005 	9.0 	12.3 	-3.4 	1.43 	915,591
2017 	4,124,531 	36,556 	53,477 	-16,921 	8.9 	13.0 	-4.1 	1.42 	894,034
2018 	4,087,843 	36,945 	52,706 	-15,761 	9.0 	12.9 	-3.9 	1.47 	875,747
2019 	4,065,253 	36,135 	51,794 	-15,659 	8.9 	12.7 	-3.9 	1.47 	860,469
2020 	4,047,680 	35,845 	57,023 	-21,178 	8.9 	14.1 	-5.2 	1.48 	849,609
2021[34] 	3,878,981 	36,508 	62,712 	-26,204 	9.4 	16.2 	-6.8 	1.62 	804,303
2022 	3,855,600 	33,883 	56,979 	-23,096 	8.8 	14.8 	-6.0 	1.53 	794,700
