"Statistic Label","Quarter","State","UNIT","VALUE"
"Deaths Registered","2000Q3","State","Number","6832"
"Deaths Registered","2000Q4","State","Number","6829"
"Deaths Registered","2001Q1","State","Number","8408"
"Deaths Registered","2001Q2","State","Number","7260"
"Deaths Registered","2001Q3","State","Number","6974"
"Deaths Registered","2001Q4","State","Number","7170"
"Deaths Registered","2002Q1","State","Number","7749"
"Deaths Registered","2002Q2","State","Number","7680"
"Deaths Registered","2002Q3","State","Number","6941"
"Deaths Registered","2002Q4","State","Number","6978"
"Deaths Registered","2003Q1","State","Number","7756"
"Deaths Registered","2003Q2","State","Number","7203"
"Deaths Registered","2003Q3","State","Number","6639"
"Deaths Registered","2003Q4","State","Number","7225"
"Deaths Registered","2004Q1","State","Number","7873"
"Deaths Registered","2004Q2","State","Number","6881"
"Deaths Registered","2004Q3","State","Number","6473"
"Deaths Registered","2004Q4","State","Number","6924"
"Deaths Registered","2005Q1","State","Number","7352"
"Deaths Registered","2005Q2","State","Number","7349"
"Deaths Registered","2005Q3","State","Number","6380"
"Deaths Registered","2005Q4","State","Number","6360"
"Deaths Registered","2006Q1","State","Number","7320"
"Deaths Registered","2006Q2","State","Number","6967"
"Deaths Registered","2006Q3","State","Number","6657"
"Deaths Registered","2006Q4","State","Number","6535"
"Deaths Registered","2007Q1","State","Number","7910"
"Deaths Registered","2007Q2","State","Number","6902"
"Deaths Registered","2007Q3","State","Number","6455"
"Deaths Registered","2007Q4","State","Number","6783"
"Deaths Registered","2008Q1","State","Number","7527"
"Deaths Registered","2008Q2","State","Number","7570"
"Deaths Registered","2008Q3","State","Number","6694"
"Deaths Registered","2008Q4","State","Number","6424"
"Deaths Registered","2009Q1","State","Number","8419"
"Deaths Registered","2009Q2","State","Number","7020"
"Deaths Registered","2009Q3","State","Number","6638"
"Deaths Registered","2009Q4","State","Number","6821"
"Deaths Registered","2010Q1","State","Number","8006"
"Deaths Registered","2010Q2","State","Number","6929"
"Deaths Registered","2010Q3","State","Number","6517"
"Deaths Registered","2010Q4","State","Number","6113"
"Deaths Registered","2011Q1","State","Number","8093"
"Deaths Registered","2011Q2","State","Number","7277"
"Deaths Registered","2011Q3","State","Number","6911"
"Deaths Registered","2011Q4","State","Number","6714"
"Deaths Registered","2012Q1","State","Number","7979"
"Deaths Registered","2012Q2","State","Number","7080"
"Deaths Registered","2012Q3","State","Number","6825"
"Deaths Registered","2012Q4","State","Number","6964"
"Deaths Registered","2013Q1","State","Number","8347"
"Deaths Registered","2013Q2","State","Number","7644"
"Deaths Registered","2013Q3","State","Number","6983"
"Deaths Registered","2013Q4","State","Number","7044"
"Deaths Registered","2014Q1","State","Number","8110"
"Deaths Registered","2014Q2","State","Number","7197"
"Deaths Registered","2014Q3","State","Number","7001"
"Deaths Registered","2014Q4","State","Number","6787"
"Deaths Registered","2015Q1","State","Number","8604"
"Deaths Registered","2015Q2","State","Number","7565"
"Deaths Registered","2015Q3","State","Number","6851"
"Deaths Registered","2015Q4","State","Number","6932"
"Deaths Registered","2016Q1","State","Number","8609"
"Deaths Registered","2016Q2","State","Number","7697"
"Deaths Registered","2016Q3","State","Number","7129"
"Deaths Registered","2016Q4","State","Number","6955"
"Deaths Registered","2017Q1","State","Number","9067"
"Deaths Registered","2017Q2","State","Number","7315"
"Deaths Registered","2017Q3","State","Number","6987"
"Deaths Registered","2017Q4","State","Number","7115"
"Deaths Registered","2018Q1","State","Number","9278"
"Deaths Registered","2018Q2","State","Number","7592"
"Deaths Registered","2018Q3","State","Number","7143"
"Deaths Registered","2018Q4","State","Number","7103"
"Deaths Registered","2019Q1","State","Number","8618"
"Deaths Registered","2019Q2","State","Number","7519"
"Deaths Registered","2019Q3","State","Number","7358"
"Deaths Registered","2019Q4","State","Number","7639"
"Deaths Registered","2020Q1","State","Number","8674"
"Deaths Registered","2020Q2","State","Number","8582"
"Deaths Registered","2020Q3","State","Number","7111"
"Deaths Registered","2020Q4","State","Number","7398"
"Deaths Registered","2021Q1","State","Number","9564"
"Deaths Registered","2021Q2","State","Number","6700"
"Deaths Registered","2021Q3","State","Number","8165"
"Deaths Registered","2021Q4","State","Number","8626"
"Deaths Registered","2022Q1","State","Number","9535"
"Deaths Registered","2022Q2","State","Number","9326"
"Deaths Registered","2022Q3","State","Number","8467"
"Deaths Registered","2022Q4","State","Number","8149"
"Deaths Registered","2023Q1","State","Number","10205"
