Vital statistics for Ireland since 1900[13] 	Population on 1 April 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate[fn 1][11]
1934 	2,971,000 	57,897 	39,083 	18,814 	19.5 	13.2 	6.3 	2.49
1935 	2,971,000 	58,266 	41,543 	16,723 	19.6 	14.0 	5.6 	2.50
1936 	2,967,000 	58,115 	42,586 	15,529 	19.6 	14.4 	5.2 	2.50
1937 	2,948,000 	56,488 	45,086 	11,402 	19.2 	15.3 	3.9 	2.45
1938 	2,937,000 	56,925 	40,041 	16,884 	19.4 	13.6 	5.7 	2.47
1939 	2,934,000 	56,070 	41,717 	14,353 	19.1 	14.2 	4.9 	2.43
1940 	2,958,000 	56,594 	41,885 	14,709 	19.1 	14.2 	5.0 	2.43
1941 	2,993,000 	56,780 	43,797 	12,983 	19.0 	14.6 	4.3 	2.42
1942 	2,963,000 	66,117 	41,640 	24,477 	22.3 	14.1 	8.3 	2.85
1943 	2,946,000 	64,375 	43,494 	20,881 	21.9 	14.8 	7.1 	2.80
1944 	2,944,000 	65,425 	45,128 	20,297 	22.2 	15.3 	6.9 	2.84
1945 	2,952,000 	66,861 	42,762 	24,099 	22.6 	14.5 	8.2 	2.90
1946 	2,957,000 	67,922 	41,457 	26,465 	23.0 	14.0 	8.9 	2.94
1947 	2,974,000 	68,978 	44,061 	24,917 	23.2 	14.8 	8.4 	2.98
1948 	2,985,000 	65,930 	36,357 	29,573 	22.1 	12.2 	9.9 	2.80
1949 	2,981,000 	64,153 	38,062 	26,091 	21.5 	12.8 	8.8 	2.75
1950 	2,969,000 	63,565 	37,741 	25,824 	21.4 	12.7 	8.7 	2.74
1951 	2,961,000 	62,878 	42,382 	20,496 	21.2 	14.3 	6.9 	2.69
1952 	2,953,000 	64,631 	35,105 	29,526 	21.9 	11.9 	10.0 	2.97
1953 	2,949,000 	62,558 	34,591 	27,967 	21.2 	11.7 	9.5 	2.95
1954 	2,941,000 	62,534 	35,535 	26,999 	21.3 	12.1 	9.2 	3.18
1955 	2,921,000 	61,622 	36,761 	24,861 	21.1 	12.6 	8.5 	3.28
1956 	2,898,000 	60,740 	33,910 	26,830 	21.0 	11.7 	9.3 	3.41
1957 	2,885,000 	61,242 	34,311 	26,931 	21.2 	11.9 	9.3 	3.52
1958 	2,853,000 	59,510 	34,248 	25,262 	20.9 	12.0 	8.9 	3.43
1959 	2,846,000 	60,188 	34,243 	25,945 	21.1 	12.0 	9.1 	3.63
1960 	2,832,000 	60,735 	32,660 	28,075 	21.4 	11.5 	9.9 	3.78
1961 	2,818,000 	59,825 	34,763 	25,062 	21.2 	12.3 	8.9 	3.78
1962 	2,830,000 	61,782 	33,838 	27,944 	21.8 	12.0 	9.9 	3.92
1963 	2,850,000 	63,246 	33,795 	29,451 	22.2 	11.9 	10.3 	4.01
1964 	2,864,000 	64,072 	32,630 	31,442 	22.4 	11.4 	11.0 	4.07
1965 	2,876,000 	63,525 	33,022 	30,503 	22.1 	11.5 	10.6 	4.04
1966 	2,884,000 	62,215 	35,113 	27,102 	21.6 	12.2 	9.4 	3.95
1967 	2,900,000 	61,307 	31,400 	29,907 	21.1 	10.8 	10.3 	3.84
1968 	2,913,000 	61,004 	33,157 	27,847 	20.9 	11.4 	9.6 	3.77
1969 	2,926,000 	62,912 	33,734 	29,178 	21.5 	11.5 	10.0 	3.83
1970 	2,950,000 	64,382 	33,686 	30,696 	21.8 	11.4 	10.4 	3.85
1971 	2,978,000 	67,551 	31,890 	35,661 	22.7 	10.7 	12.0 	3.97
1972 	3,024,000 	68,527 	34,381 	34,146 	22.7 	11.4 	11.3 	3.93
1973 	3,073,000 	68,713 	34,192 	34,521 	22.4 	11.1 	11.2 	3.78
1974 	3,124,000 	68,907 	34,921 	33,986 	22.1 	11.2 	10.9 	3.64
1975 	3,177,000 	67,178 	33,173 	34,005 	21.1 	10.4 	10.7 	3.43
1976 	3,228,000 	67,718 	34,043 	33,675 	21.0 	10.5 	10.4 	3.35
1977 	3,272,000 	68,892 	33,632 	35,260 	21.1 	10.3 	10.8 	3.31
1978 	3,314,000 	70,299 	33,794 	36,505 	21.2 	10.2 	11.0 	3.27
1979 	3,368,000 	72,539 	33,771 	38,768 	21.5 	10.0 	11.5 	3.26
1980 	3,401,000 	74,064 	33,472 	40,592 	21.8 	9.8 	11.9 	3.25
1981 	3,443,000 	72,158 	32,929 	39,229 	21.0 	9.6 	11.4 	3.10
1982 	3,480,000 	70,843 	32,457 	38,386 	20.4 	9.3 	11.0 	2.98
1983 	3,504,000 	67,117 	32,076 	35,041 	19.2 	9.2 	10.0 	2.76
1984 	3,529,000 	64,062 	32,154 	31,908 	18.2 	9.1 	9.0 	2.57
1985 	3,540,000 	62,388 	33,213 	29,175 	17.6 	9.4 	8.2 	2.48
1986 	3,541,000 	61,620 	33,630 	27,990 	17.4 	9.5 	7.9 	2.44
1987 	3,547,000 	58,433 	31,413 	27,020 	16.5 	8.9 	7.6 	2.31
1988 	3,531,000 	54,600 	31,580 	23,020 	15.5 	8.9 	6.5 	2.17
1989 	3,510,000 	52,018 	32,111 	19,907 	14.8 	9.1 	5.7 	2.08
1990 	3,506,000 	52,954 	31,370 	21,584 	15.1 	8.9 	6.2 	2.12
1991 	3,526,000 	52,718 	31,305 	21,413 	15.0 	8.9 	6.1 	2.09
1992 	3,555,000 	51,089 	30,931 	20,158 	14.4 	8.7 	5.7 	1.99
1993 	3,574,000 	49,304 	32,148 	17,156 	13.8 	9.0 	4.8 	1.91
1994 	3,586,000 	48,255 	30,948 	17,307 	13.5 	8.6 	4.8 	1.85
1995 	3,601,000 	48,530 	31,494 	17,036 	13.5 	8.7 	4.7 	1.86
1996 	3,626,000 	50,390 	31,514 	18,876 	13.9 	8.7 	5.2 	1.89
1997 	3,664,000 	52,311 	31,605 	20,706 	14.3 	8.6 	5.7 	1.93
1998 	3,703,000 	53,551 	31,352 	22,199 	14.5 	8.5 	6.0 	1.95
1999 	3,742,000 	53,354 	31,683 	21,671 	14.3 	8.5 	5.8 	1.90
2000 	3,790,000 	54,789 	31,391 	23,398 	14.5 	8.3 	6.2 	1.89
2001 	3,847,000 	57,854 	30,212 	27,642 	15.0 	7.9 	7.2 	1.96
2002 	3,917,000 	60,503 	29,683 	30,820 	15.4 	7.6 	7.8 	1.97
2003 	3,980,000 	61,529 	29,074 	32,455 	15.5 	7.3 	8.2 	1.99
2004 	4,045,000 	61,972 	28,665 	33,307 	15.3 	7.1 	8.2 	1.96
2005 	4,134,000 	61,372 	28,260 	33,112 	14.8 	6.8 	8.0 	1.88
2006 	4,233,000 	65,425 	28,488 	36,937 	15.4 	6.7 	8.7 	1.93
2007 	4,339,000 	71,389 	28,117 	43,272 	16.3 	6.4 	9.9 	2.04
2008 	4,422,000 	75,173 	28,274 	46,899 	16.8 	6.3 	10.5 	2.09
2009 	4,459,000 	75,554 	28,380 	47,174 	16.7 	6.3 	10.4 	2.10
2010 	4,470,000 	75,174 	27,961 	47,213 	16.5 	6.1 	10.4 	2.07
2011 	4,575,000 	74,033 	28,456 	45,577 	16.2 	6.2 	10.0 	2.03
2012 	4,594,000 	71,674 	29,186 	42,488 	15.6 	6.4 	9.2 	1.98
2013 	4,615,000 	68,954 	29,504 	39,450 	15.0 	6.4 	8.6 	1.93
2014 	4,645,000 	67,295 	29,252 	38,043 	14.6 	6.4 	8.2 	1.89
2015 	4,688,000 	65,536 	30,127 	35,409 	14.0 	6.4 	7.6 	1.86
2016 	4,740,000 	63,841 	30,390 	33,451 	13.5 	6.5 	7.2 	1.82
2017 	4,792,000 	61,824 	30,418 	31,406 	12.9 	6.3 	6.6 	1.77
2018 	4,857,000 	61,016 	31,116 	29,900 	12.6 	6.4 	6.2 	1.75
2019 	4,921,500 	59,294 	31,184 	28,110 	12.0 	6.3 	5.7 	1.72
2020 	4,977,400 	55,959 	31,765 	24,194 	11.2 	6.4 	4.8 	1.63
2021 	5,011,500 	58,443 	33,055 	25,388 	11.7 	6.6 	5.1 	1.71
2022c 	5,123,536 	57,540 	35,477 	22,063 	11.3 	7.0 	4.3 	1.70 
