Source: Central Statistical Bureau of Latvia[22]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Infant mortality rate (per 1000 births) 	Life expectancy at birth (males) 	Life expectancy at birth (females)
2005 	2,249,724 	21,879 	32,777 	-10,898 	9.8 	14.6 	-4.8 	1.39 	7.7 	64.9 	76.3
2006 	2,227,874 	22,871 	33,098 	-10,227 	10.3 	14.9 	-4.6 	1.46 	7.4 	65.0 	76.1
2007 	2,208,840 	23,958 	33,042 	-9,084 	10.9 	15.0 	-4.1 	1.54 	8.5 	65.3 	76.2
2008 	2,191,810 	24,397 	31,006 	-6,609 	11.2 	14.2 	-3.0 	1.58 	6.6 	66.5 	77.4
2009 	2,162,834 	22,044 	29,897 	-7,853 	10.3 	14.0 	-3.7 	1.46 	7.6 	67.5 	77.6
2010 	2,120,504 	19,781 	30,040 	-10,259 	9.4 	14.3 	-4.9 	1.36 	5.6 	67.9 	77.9
2011 	2,074,605 	18,825 	28,540 	-9,715 	9.1 	13.9 	-4.8 	1.33 	6.6 	68.6 	78.5
2012 	2,044,813 	19,897 	29,025 	-9,128 	9.8 	14.3 	-4.5 	1.44 	6.3 	65.9 	78.7
2013 	2,023,825 	20,596 	28,691 	-8,095 	10.2 	14.3 	-4.1 	1.52 	4.4 	69.3 	78.8
2014 	2,001,468 	21,746 	28,466 	-6,720 	10.9 	14.3 	-3.4 	1.65 	3.8 	69.1 	79.3
2015 	1,986,096 	21,979 	28,478 	-6,499 	11.1 	14.4 	-3.3 	1.70 	4.1 	69.7 	79.3
2016 	1,968,957 	21,968 	28,580 	-6,612 	11.2 	14.6 	-3.4 	1.74 	3.7 	69.8 	79.4
2017 	1,950,116 	20,828 	28,757 	-7,929 	10.7 	14.8 	-4.1 	1.69 	4.1 	69.8 	79.6
2018 	1,934,379 	19,314 	28,820 	-9,506 	10.0 	15.0 	-5.0 	1.60 	3.2 	70.0 	79.6
2019 	1,919,968 	18,786 	27,719 	-8,933 	9.8 	14.5 	-4.7 	1.61 	3.4 	70.8 	79.9
2020 	1,907,675 	17,552 	28,854 	-11,302 	9.2 	15.2 	-5.9 	1.55 	3.5 	70.4 	79.5
2021 	1,893,223 	17,420 	34,600 	-17,180 	9.2 	18.4 	-9.1 	1.57 	2.7 	68.2 	77.9
2022 	1,875,757 	15,954 	30,731 	-14,777 	8.5 	16.4 	-7.9 	1.47 		
