Source: Statistical Office of the Republic of Serbia[5][6][7][8][9] Data for Serbia excluding Kosovo.
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1983 	7,788,100 	108,003 	83,506 	24,497 	13.9 	10.7 	3.1 	1.89 	1,914,434
1984 	7,813,549 	107,036 	82,742 	24,294 	13.7 	10.6 	3.1 	1.90 	1,921,422
1985 	7,835,902 	101,938 	81,836 	20,102 	13.0 	10.4 	2.6 	1.84 	1,920,627
1986 	7,853,824 	99,419 	83,977 	15,442 	12.7 	10.7 	2.0 	1.82 	1,911,361
1987 	7,868,027 	98,279 	83,426 	14,853 	12.5 	10.6 	1.9 	1.82 	1,919,612
1988 	7,884,218 	97,471 	83,616 	13,855 	12.4 	10.6 	1.8 	1.82 	1,899,146
1989 	7,893,787 	91,270 	85,256 	6,014 	11.6 	10.8 	0.8 	1.72 	1,895,541
1990 	7,897,937 	90,467 	85,515 	4,952 	11.5 	10.8 	0.6 	1.72 	1,899,883
1991 	7,824,589 	90,378 	89,072 	1,306 	11.6 	11.4 	0.2 	1.82 	1,813,520
1992 	7,787,897 	86,877 	93,475 	-6,598 	11.2 	12.0 	-0.8 	1.76 	1,821,688
1993 	7,751,205 	87,931 	95,121 	-7,190 	11.3 	12.3 	-0.9 	1.78 	1,833,456
1994 	7,714,513 	85,292 	93,011 	-7,719 	11.1 	12.1 	-1.0 	1.72 	1,846,610
1995 	7,677,821 	86,236 	93,933 	-7,697 	11.2 	12.2 	-1.0 	1.74 	1,860,970
1996 	7,641,129 	82,548 	98,370 	-15,822 	10.8 	12.9 	-2.1 	1.66 	1,868,882
1997 	7,604,437 	79,716 	98,068 	-18,352 	10.5 	12.9 	-2.4 	1.61 	1,864,628
1998 	7,567,745 	76,330 	99,376 	-23,046 	10.1 	13.1 	-3.0 	1.54 	1,855,228
1999 	7,540,401 	72,222 	101,444 	-29,222 	9.6 	13.5 	-3.9 	1.46 	1,844,875
2000 	7,516,346 	73,764 	104,042 	-30,278 	9.8 	13.8 	-4.0 	1.48 	1,831,994
2001 	7,503,433 	78,435 	99,008 	-20,573 	10.5 	13.2 	-2.7 	1.58 	1,821,493
2002 	7,500,031 	78,101 	102,785 	-24,684 	10.4 	13.7 	-3.3 	1.57 	1,810,526
2003 	7,480,591 	79,025 	103,946 	-24,921 	10.6 	13.9 	-3.3 	1.59 	1,789,668
2004[10] 	7,463,157 	78,186 	104,320 	-26,134 	10.5 	14.0 	-3.5 	1.57 	1,770,053
2005 	7,440,769 	72,180 	106,771 	-34,591 	9.7 	14.3 	-4.6 	1.45 	1,750,845
2006 	7,411,569 	70,997 	102,884 	-31,887 	9.6 	13.9 	-4.3 	1.43 	1,733,316
2007 	7,381,579 	68,102 	102,805 	-34,703 	9.2 	13.9 	-4.7 	1.38 	1,718,428
2008 	7,350,222 	69,083 	102,711 	-33,628 	9.4 	14.0 	-4.6 	1.41 	1,704,735
2009 	7,320,807 	70,299 	104,000 	-33,701 	9.6 	14.2 	-4.6 	1.44 	1,691,363
2010[11] 	7,291,436 	68,304 	103,211 	-34,907 	9.4 	14.2 	-4.8 	1.41 	1,677,562
2011 	7,236,519 	65,598 	102,935 	-37,337 	9.1 	14.2 	-5.2 	1.40 	1,632,708
2012 	7,201,497 	67,257 	102,400 	-35,143 	9.3 	14.2 	-4.9 	1.45 	1,615,898
2013 	7,166,552 	65,554 	100,300 	-34,746 	9.1 	14.0 	-4.8 	1.43 	1,599,129
2014 	7,131,787 	66,461 	101,247 	-34,786 	9.3 	14.2 	-4.9 	1.47 	1,582,643
2015 	7,095,383 	65,657 	103,678 	-38,021 	9.3 	14.6 	-5.4 	1.46 	1,566,064
2016 	7,058,322 	64,734 	100,834 	-36,100 	9.2 	14.3 	-5.1 	1.46 	1,550,651
2017 	7,020,858 	64,894 	103,722 	-38,828 	9.2 	14.8 	-5.5 	1.48 	1,537,044
2018[12] 	6,982,604 	63,975 	101,655 	-37,680 	9.2 	14.6 	-5.4 	1.48 	1,523,675
2019[13][14] 	6,945,235 	64,399 	101,458 	-37,059 	9.3 	14.6 	-5.3 	1.52 	1,510,363
2020[15][16] 	6,899,126 	61,692 	116,850 	-55,158 	8.9 	16.9 	-8.0 	1.48 	1,496,982
2021[17][18] 	6,834,326 	62,180 	136,622 	-74,442 	9.1 	20.0 	-10.9 	1.52 	1,482,691
2022 	6,664,449 	62,700 	109,203 	-46,503 	9.4 	16.4 	-7.0 	1.63 	1,410,619
