NazwaKraju,RodzajOkresu,NumerOkresu,Zgony2018,Zgony2019,Zgony2020,Zgony2021
Austria,T,5,1870,1732,1947,1868
Austria,T,6,1938,1796,1682,1759
Austria,T,7,1881,1820,1721,1722
Austria,T,8,1951,1751,1719,1669
Austria,T,9,2021,1764,1768,1590
Austria,T,10,1965,1811,1744,1752
Austria,T,11,1946,1790,1718,1694
Austria,T,12,1641,1619,1836,1660
Austria,T,13,1766,1651,1765,1778
Austria,T,14,1617,1607,1828,1665
Austria,T,15,1560,1556,1793,1698
Austria,T,16,1557,1558,1704,1692
Austria,T,17,1383,1521,1588,1700
Austria,T,18,1434,1462,1480,1660
Austria,T,19,1372,1453,1520,1607
Austria,T,20,1342,1558,1489,1524
Austria,T,21,1383,1497,1481,1492
Austria,T,22,1415,1495,1418,1609
Austria,T,23,1433,1520,1490,1565
Austria,T,24,1392,1554,1461,1605
Austria,T,25,1401,1424,1413,1655
Austria,T,26,1414,1454,1438,1511
Austria,T,27,1441,1507,1561,1471
Austria,T,28,1404,1338,1383,1460
Austria,T,29,1511,1430,1443,1584
Austria,T,30,1455,1557,1452,1535
Austria,T,31,1615,1457,1527,1461
Austria,T,32,1532,1406,1433,1630
Austria,T,33,1430,1407,1607,1624
Austria,T,34,1460,1453,1477,1576
Austria,T,35,1414,1501,1500,1555
Austria,T,36,1376,1423,1523,1632
Austria,T,37,1452,1407,1568,1584
Austria,T,38,1421,1452,1569,1581
Austria,T,39,1436,1574,1532,1676
Austria,T,40,1553,1555,1587,1607
Austria,T,41,1509,1592,1624,1636
Austria,T,42,1488,1497,1619,1727
Austria,T,43,1491,1545,1780,1896
Austria,T,44,1561,1536,1896,1946
Austria,T,45,1501,1555,2006,2063
Austria,T,46,1556,1558,2287,2120
Austria,T,47,1531,1553,2414,2158
Austria,T,48,1525,1586,2442,2209
Austria,T,49,1656,1599,2550,2133
Austria,T,50,1626,1667,2479,1938
Austria,T,51,1639,1591,2264,1854
Austria,T,52,1689,1636,2131,1864
Azerbejdżan,M,1,5284,5423,5177,7972
Azerbejdżan,M,2,5216,4816,5039,5366
Azerbejdżan,M,3,4903,4563,5792,5676
Azerbejdżan,M,4,5003,5324,4511,7400
Azerbejdżan,M,5,4871,4555,4294,5435
Azerbejdżan,M,6,4015,4505,6203,5198
Azerbejdżan,M,7,5520,4902,6410,5087
Azerbejdżan,M,8,4684,4269,5049,6499
Azerbejdżan,M,9,4144,4101,4520,7540
Azerbejdżan,M,10,4546,4386,5774,5978
Azerbejdżan,M,11,4547,4393,8378,7610
Azerbejdżan,M,12,4517,5210,14500,7117
Barbados,M,1,222,263,255,173
Barbados,M,2,232,244,224,222
Barbados,M,3,218,206,244,322
Barbados,M,4,143,252,183,189
Barbados,M,5,296,291,245,221
Barbados,M,6,193,208,238,246
Barbados,M,7,221,245,229,143
Barbados,M,8,201,215,233,248
Barbados,M,9,188,251,187,236
Białoruś,M,1,10659,11904,10725,16127
Białoruś,M,2,9391,10115,9622,12554
Białoruś,M,3,12080,10206,10690,11036
Belgia,T,1,2382,2308,2224,2481
Belgia,T,2,2317,2347,2378,2408
Belgia,T,3,2336,2312,2302,2443
Belgia,T,4,2253,2395,2190,2446
Belgia,T,5,2355,2421,2353,2283
Belgia,T,6,2353,2544,2160,2231
Belgia,T,7,2565,2409,2297,2322
Belgia,T,8,2628,2418,2286,2147
Belgia,T,9,3002,2428,2230,2021
Belgia,T,10,3016,2389,2200,2169
Belgia,T,11,2724,2335,2208,2108
Belgia,T,12,2594,2167,2537,2115
Belgia,T,13,2460,2063,3167,2230
Belgia,T,14,2203,2183,3981,2219
Belgia,T,15,2175,1969,4086,2172
Belgia,T,16,2044,2095,3703,2221
Belgia,T,17,1953,2046,3039,2210
Belgia,T,18,1867,2011,2429,2264
Belgia,T,19,1980,2034,2390,2079
Belgia,T,20,1860,2034,2042,2030
Belgia,T,21,1951,1995,2082,1997
Belgia,T,22,1953,1933,1983,1989
Belgia,T,23,1811,1966,1799,1881
Belgia,T,24,1734,1847,1899,1969
Belgia,T,25,1779,1913,1822,1781
Belgia,T,26,1950,1980,1968,1928
Belgia,T,27,2080,1935,1768,1825
Belgia,T,28,1833,1788,1682,1911
Belgia,T,29,1988,1882,1859,2003
Belgia,T,30,2107,2318,1810,1887
Belgia,T,31,2125,1916,1947,1878
Belgia,T,32,2000,1766,2046,1895
Belgia,T,33,1887,1777,2882,1840
Belgia,T,34,1824,1859,2215,1863
Belgia,T,35,1825,2006,1879,1959
Belgia,T,36,1909,1838,1891,2015
Belgia,T,37,1811,1833,1825,1899
Belgia,T,38,1970,1923,2004,1890
Belgia,T,39,1831,1906,1916,1946
Belgia,T,40,1965,2048,1920,2056
Belgia,T,41,2006,1951,2060,2226
Belgia,T,42,1957,1961,2157,2339
Belgia,T,43,1918,2065,2629,2331
Belgia,T,44,1907,1935,3282,2285
Belgia,T,45,2049,2001,3689,2382
Belgia,T,46,2017,2014,3432,2407
Belgia,T,47,2060,2187,3179,2491
Belgia,T,48,2107,2122,2893,2732
Belgia,T,49,2173,2161,2704,2609
Belgia,T,50,2233,2213,2780,2541
Belgia,T,51,2263,2337,2736,2435
Belgia,T,52,2251,2152,2617,2454
Boliwia,M,1,4255,4522,4717,9126
Boliwia,M,2,4060,3947,4364,6733
Boliwia,M,3,4189,4365,4615,5965
Boliwia,M,4,3997,4074,3023,5323
Boliwia,M,5,4354,4259,4353,8337
Boliwia,M,6,4511,4491,8223,9942
Boliwia,M,7,4643,4643,15876,7920
Boliwia,M,8,4582,4510,10637,6378
Boliwia,M,9,4193,4258,5209,5395
Boliwia,M,10,4189,4321,4932,5087
Boliwia,M,11,4191,3994,4601,5483
Boliwia,M,12,4406,4614,4756,10411
Bośnia i Hercegowina,M,1,2774,3444,2800,3452
Bośnia i Hercegowina,M,2,3377,3512,3203,3454
Bośnia i Hercegowina,M,3,3640,3239,2970,4787
Bośnia i Hercegowina,M,4,3186,3122,3207,6051
Bośnia i Hercegowina,M,5,2964,3240,2938,4223
Bośnia i Hercegowina,M,6,2698,2817,2953,3276
Bośnia i Hercegowina,M,7,2716,2969,3066,3067
Bośnia i Hercegowina,M,8,3003,2905,3329,3019
Bośnia i Hercegowina,M,9,2824,2683,3459,3779
Bośnia i Hercegowina,M,10,3124,3170,3506,4125
Bośnia i Hercegowina,M,11,2895,2963,5410,4615
Bośnia i Hercegowina,M,12,3104,3066,5962,4655
Brazylia,M,1,106838,110373,113395,151425
Brazylia,M,2,94994,97737,106414,136802
Brazylia,M,3,109390,109549,120185,209063
Brazylia,M,4,107849,110370,125923,196291
Brazylia,M,5,115068,118737,156908,182513
Brazylia,M,6,116967,118911,142885,171677
Brazylia,M,7,119675,124885,147571,157911
Brazylia,M,8,115169,118568,143383,142697
Brazylia,M,9,108897,112312,128972,124695
Brazylia,M,10,107666,111532,130493,120819
Brazylia,M,11,103328,105635,124326,123169
Brazylia,M,12,110878,111193,141190,126665
Bułgaria,T,1,2274,2533,2111,2628
Bułgaria,T,2,2166,2692,2279,2489
Bułgaria,T,3,2374,2756,2185,2525
Bułgaria,T,4,2360,2848,2393,2464
Bułgaria,T,5,2564,2573,2439,2388
Bułgaria,T,6,2456,2245,2350,2371
Bułgaria,T,7,2380,2300,2310,2494
Bułgaria,T,8,2234,2264,2161,2589
Bułgaria,T,9,2471,2275,2183,2755
Bułgaria,T,10,2382,2166,2049,3020
Bułgaria,T,11,2239,2123,2075,3391
Bułgaria,T,12,2164,2148,2044,3686
Bułgaria,T,13,2057,2081,2082,4044
Bułgaria,T,14,2075,2114,2041,3787
Bułgaria,T,15,2061,2092,2030,3738
Bułgaria,T,16,1991,2036,2024,3437
Bułgaria,T,17,2076,2051,1981,3139
Bułgaria,T,18,1934,1980,1891,2801
Bułgaria,T,19,1887,2120,1913,2552
Bułgaria,T,20,1920,1980,2087,2362
Bułgaria,T,21,1897,1998,1898,2184
Bułgaria,T,22,1917,1967,1799,2098
Bułgaria,T,23,1951,1932,1922,2054
Bułgaria,T,24,1774,1994,1951,2030
Bułgaria,T,25,1776,2026,1930,2291
Bułgaria,T,26,1793,1908,1904,2139
Bułgaria,T,27,1900,1954,2138,2099
Bułgaria,T,28,1963,1820,2043,2091
Bułgaria,T,29,1975,1867,1846,1936
Bułgaria,T,30,1976,1963,1987,2104
Bułgaria,T,31,1902,1854,2161,2242
Bułgaria,T,32,1911,1896,2059,2243
Bułgaria,T,33,1860,1920,1975,2085
Bułgaria,T,34,1822,1936,1911,2348
Bułgaria,T,35,1828,1863,1937,2479
Bułgaria,T,36,1842,1734,1946,2658
Bułgaria,T,37,1845,1753,1912,2900
Bułgaria,T,38,1885,1791,1849,2776
Bułgaria,T,39,1892,1827,1844,2842
Bułgaria,T,40,2068,1887,1986,3073
Bułgaria,T,41,2040,1888,2084,3403
Bułgaria,T,42,2132,1971,2157,3841
Bułgaria,T,43,2092,1911,2372,4049
Bułgaria,T,44,2069,2039,2732,4171
Bułgaria,T,45,2073,2194,3236,4092
Bułgaria,T,46,2135,2026,3948,3988
Bułgaria,T,47,2166,1958,4407,3657
Bułgaria,T,48,2209,2071,4739,3491
Bułgaria,T,49,2322,2128,4753,3310
Bułgaria,T,50,2346,2113,4370,3132
Bułgaria,T,51,2345,2135,3945,3100
Bułgaria,T,52,2431,2117,3242,3067
Kanada,T,1,6630,6080,6220,6790
Kanada,T,2,6660,5950,6210,6765
Kanada,T,3,6555,6000,6135,6740
Kanada,T,4,6440,5945,6165,6655
Kanada,T,5,6225,5845,5845,6465
Kanada,T,6,6035,5810,5900,6095
Kanada,T,7,6010,5865,5735,6035
Kanada,T,8,6040,5795,5680,5870
Kanada,T,9,5795,5735,5775,5850
Kanada,T,10,5920,5745,5770,5680
Kanada,T,11,5675,5660,5680,5515
Kanada,T,12,5620,5625,5880,5640
Kanada,T,13,5705,5570,5930,5590
Kanada,T,14,5595,5550,6305,5740
Kanada,T,15,5565,5560,6590,5640
Kanada,T,16,5395,5580,6625,5665
Kanada,T,17,5480,5430,6940,5870
Kanada,T,18,5405,5520,6900,5795
Kanada,T,19,5305,5425,6440,5685
Kanada,T,20,5205,5370,6120,5735
Kanada,T,21,5155,5335,5925,5280
Kanada,T,22,5085,5200,5885,5560
Kanada,T,23,5090,5185,5550,5240
Kanada,T,24,5080,5240,5200,5315
Kanada,T,25,5110,5015,5305,5245
Kanada,T,26,5060,5045,5295,6125
Kanada,T,27,5215,5160,5155,5365
Kanada,T,28,5105,5165,5395,5330
Kanada,T,29,4820,5075,5275,5360
Kanada,T,30,4960,5080,5285,5470
Kanada,T,31,4980,4950,5225,5490
Kanada,T,32,4975,4985,5245,5405
Kanada,T,33,4995,5065,5415,5650
Kanada,T,34,4925,5065,5415,5580
Kanada,T,35,4970,5130,5250,5760
Kanada,T,36,5115,5095,5450,6050
Kanada,T,37,5075,4995,5330,5990
Kanada,T,38,5150,5045,5465,5980
Kanada,T,39,5210,5395,5745,6065
Kanada,T,40,5290,5455,5705,5990
Kanada,T,41,5340,5320,5780,6195
Kanada,T,42,5425,5640,5725,6140
Kanada,T,43,5460,5535,5750,5985
Kanada,T,44,5540,5525,5900,6020
Kanada,T,45,5465,5615,6260,6075
Kanada,T,46,5485,5660,6145,5780
Kanada,T,47,5455,5600,6140,5675
Kanada,T,48,5535,5665,6305,5625
Chile,T,1,1946,2020,2108,2448
Chile,T,2,1804,1818,2053,2439
Chile,T,3,1804,1819,2057,2702
Chile,T,4,1776,1945,1964,2561
Chile,T,5,1895,1961,1970,2635
Chile,T,6,1817,2023,1994,2506
Chile,T,7,1885,1875,1909,2502
Chile,T,8,1809,1931,1899,2607
Chile,T,9,1782,1862,1884,2662
Chile,T,10,1870,1795,1885,2656
Chile,T,11,1789,1867,1928,2550
Chile,T,12,1819,1877,2008,2741
Chile,T,13,1961,1848,2006,2833
Chile,T,14,1903,1959,2081,2849
Chile,T,15,1939,1973,2010,2899
Chile,T,16,1920,1980,2087,2664
Chile,T,17,1917,2033,2095,2787
Chile,T,18,1976,2095,2083,2735
Chile,T,19,1864,2072,2342,2767
Chile,T,20,2024,2147,2438,2936
Chile,T,21,2088,2364,2933,3081
Chile,T,22,2123,2354,3394,3017
Chile,T,23,2368,2324,3899,3133
Chile,T,24,2431,2429,3983,3182
Chile,T,25,2247,2477,3732,3196
Chile,T,26,2359,2504,3519,3327
Chile,T,27,2334,2458,3070,3120
Chile,T,28,2276,2376,2967,3043
Chile,T,29,2334,2420,2814,2868
Chile,T,30,2496,2343,2698,2749
Chile,T,31,2514,2341,2653,2640
Chile,T,32,2448,2265,2516,2628
Chile,T,33,2306,2296,2431,2613
Chile,T,34,2388,2239,2596,2362
Chile,T,35,2178,2181,2479,2339
Chile,T,36,2238,2181,2395,2397
Chile,T,37,2140,2210,2405,2389
Chile,T,38,2217,2224,2401,2361
Chile,T,39,2046,2270,2364,2250
Chile,T,40,2058,2163,2340,2327
Chile,T,41,1986,2123,2396,2362
Chile,T,42,2002,2067,2307,2222
Chile,T,43,2030,2025,2304,2405
Chile,T,44,1940,2038,2268,2248
Chile,T,45,1960,2039,2239,2395
Chile,T,46,1945,2013,2121,2362
Chile,T,47,1992,2003,2184,2405
Chile,T,48,1924,1978,2203,2538
Chile,T,49,1852,1878,2174,2383
Chile,T,50,1910,1892,2187,2426
Chile,T,51,1941,1963,2155,2419
Chile,T,52,1887,2010,2291,2419
Kolumbia,T,1,4683,5311,5019,8055
Kolumbia,T,2,4431,4663,5057,8525
Kolumbia,T,3,4589,4798,4945,8558
Kolumbia,T,4,4608,4566,4806,7752
Kolumbia,T,5,4450,4507,4656,7080
Kolumbia,T,6,4367,4449,4755,6384
Kolumbia,T,7,4296,4435,4724,5947
Kolumbia,T,8,4225,4449,4723,5611
Kolumbia,T,9,4337,4431,4565,5608
Kolumbia,T,10,4471,4406,4563,5352
Kolumbia,T,11,4564,4456,4475,5631
Kolumbia,T,12,4410,4474,4524,5997
Kolumbia,T,13,4209,4464,4356,6538
Kolumbia,T,14,4349,4433,4210,7259
Kolumbia,T,15,4308,4510,4274,8502
Kolumbia,T,16,4311,4383,4371,8843
Kolumbia,T,17,4387,4414,4349,8841
Kolumbia,T,18,4507,4636,4294,8952
Kolumbia,T,19,4436,4579,4484,9043
Kolumbia,T,20,4695,4397,4610,9126
Kolumbia,T,21,4625,4637,4724,9371
Kolumbia,T,22,4714,4532,4766,9847
Kolumbia,T,23,4816,4824,5186,10178
Kolumbia,T,24,4757,4693,5378,10539
Kolumbia,T,25,4813,4913,5818,10573
Kolumbia,T,26,4839,4766,6158,10381
Kolumbia,T,27,4789,4820,6281,9669
Kolumbia,T,28,4739,4837,6790,8864
Kolumbia,T,29,4695,4873,7367,7734
Kolumbia,T,30,4491,4623,7763,7111
Kolumbia,T,31,4429,4676,8130,6361
Kolumbia,T,32,4574,4683,7922,5874
Kolumbia,T,33,4607,4645,7692,5644
Kolumbia,T,34,4457,4865,7194,5358
Kolumbia,T,35,4427,4792,6840,5114
Kolumbia,T,36,4414,4662,6612,5081
Kolumbia,T,37,4382,4568,6425,5012
Kolumbia,T,38,4400,4599,6290,5243
Kolumbia,T,39,4285,4392,6201,5025
Kolumbia,T,40,4257,4582,6053,5162
Kolumbia,T,41,4339,4540,6224,5083
Kolumbia,T,42,4306,4581,6227,5015
Kolumbia,T,43,4253,4600,6348,5024
Kolumbia,T,44,4391,4732,6126,5139
Kolumbia,T,45,4317,4706,6302,5305
Kolumbia,T,46,4472,4649,6169,5295
Kolumbia,T,47,4407,4738,6280,5289
Kolumbia,T,48,4595,4709,6310,5500
Kolumbia,T,49,4713,4758,6247,5615
Kolumbia,T,50,4719,4744,6683,5494
Kolumbia,T,51,4744,4808,6727,5876
Kolumbia,T,52,4935,4973,7232,5940
Kostaryka,M,1,1973,2090,2160,2676
Kostaryka,M,2,1774,1754,1914,2076
Kostaryka,M,3,1956,1947,2003,2274
Kostaryka,M,4,1870,1991,1881,2314
Kostaryka,M,5,2061,2042,1862,3022
Kostaryka,M,6,2013,2275,1857,2636
Kostaryka,M,7,1938,2036,2059,2486
Kostaryka,M,8,2016,2006,2273,2742
Kostaryka,M,9,2027,1996,2536,3169
Kostaryka,M,10,1971,2074,2467,2958
Kostaryka,M,11,1942,1983,2300,2360
Kostaryka,M,12,2221,2098,2897,2368
Chorwacja,T,1,1128,1154,1033,1342
Chorwacja,T,2,1165,1220,1056,1358
Chorwacja,T,3,1203,1238,1016,1307
Chorwacja,T,4,1137,1319,1134,1244
Chorwacja,T,5,1146,1286,1094,1204
Chorwacja,T,6,1154,1133,1059,1161
Chorwacja,T,7,1157,1126,1091,1121
Chorwacja,T,8,1134,1093,1045,1096
Chorwacja,T,9,1225,1031,1021,1034
Chorwacja,T,10,1266,1130,1056,1080
Chorwacja,T,11,1165,1018,1082,1021
Chorwacja,T,12,1072,970,1094,1142
Chorwacja,T,13,1061,987,1122,1231
Chorwacja,T,14,1065,1032,1012,1283
Chorwacja,T,15,1007,958,1001,1289
Chorwacja,T,16,947,914,978,1318
Chorwacja,T,17,1028,1033,868,1341
Chorwacja,T,18,878,947,909,1252
Chorwacja,T,19,935,958,880,1255
Chorwacja,T,20,919,943,908,1106
Chorwacja,T,21,930,952,904,1047
Chorwacja,T,22,950,893,848,1143
Chorwacja,T,23,917,1024,972,1061
Chorwacja,T,24,901,1040,979,1030
Chorwacja,T,25,845,909,889,1116
Chorwacja,T,26,884,960,927,982
Chorwacja,T,27,985,930,970,1002
Chorwacja,T,28,947,870,919,991
Chorwacja,T,29,911,933,888,909
Chorwacja,T,30,916,985,974,1069
Chorwacja,T,31,1044,865,1059,957
Chorwacja,T,32,1030,892,956,1063
Chorwacja,T,33,956,884,926,996
Chorwacja,T,34,939,928,921,963
Chorwacja,T,35,879,939,972,1043
Chorwacja,T,36,918,831,931,1092
Chorwacja,T,37,929,893,1000,1111
Chorwacja,T,38,926,875,975,1080
Chorwacja,T,39,913,944,963,1106
Chorwacja,T,40,1035,921,1065,1099
Chorwacja,T,41,957,975,970,1130
Chorwacja,T,42,959,942,1096,1218
Chorwacja,T,43,1004,919,1136,1325
Chorwacja,T,44,950,940,1156,1404
Chorwacja,T,45,925,966,1287,1535
Chorwacja,T,46,986,999,1361,1563
Chorwacja,T,47,981,915,1489,1716
Chorwacja,T,48,1009,915,1484,1636
Chorwacja,T,49,982,989,1713,1568
Chorwacja,T,50,1070,1021,1761,1536
Chorwacja,T,51,1078,1048,1785,1488
Chorwacja,T,52,1114,1024,1681,1478
Cypr,T,1,127,133,180,165
Cypr,T,2,120,159,154,125
Cypr,T,3,103,155,159,140
Cypr,T,4,131,158,155,159
Cypr,T,5,139,154,164,152
Cypr,T,6,164,160,147,120
Cypr,T,7,110,141,112,137
Cypr,T,8,151,137,143,125
Cypr,T,9,141,140,141,123
Cypr,T,10,129,130,118,121
Cypr,T,11,106,135,129,135
Cypr,T,12,124,115,137,127
Cypr,T,13,109,125,138,137
Cypr,T,14,124,115,133,150
Cypr,T,15,123,112,108,162
Cypr,T,16,120,125,120,146
Cypr,T,17,120,126,113,142
Cypr,T,18,117,135,117,151
Cypr,T,19,99,101,108,112
Cypr,T,20,90,110,136,92
Cypr,T,21,111,128,181,118
Cypr,T,22,95,138,104,114
Cypr,T,23,90,92,121,111
Cypr,T,24,85,101,89,104
Cypr,T,25,109,116,101,109
Cypr,T,26,93,97,105,134
Cypr,T,27,96,120,111,128
Cypr,T,28,99,134,109,136
Cypr,T,29,106,94,105,142
Cypr,T,30,109,75,114,151
Cypr,T,31,106,104,113,170
Cypr,T,32,95,124,88,163
Cypr,T,33,99,90,100,130
Cypr,T,34,109,114,108,149
Cypr,T,35,121,118,109,137
Cypr,T,36,85,108,92,129
Cypr,T,37,107,112,123,130
Cypr,T,38,108,88,100,117
Cypr,T,39,98,100,100,124
Cypr,T,40,105,113,110,111
Cypr,T,41,101,118,106,127
Cypr,T,42,105,104,108,123
Cypr,T,43,92,100,110,113
Cypr,T,44,113,106,108,97
Cypr,T,45,114,95,111,132
Cypr,T,46,118,118,124,157
Cypr,T,47,98,101,104,133
Cypr,T,48,120,133,128,141
Cypr,T,49,106,119,130,128
Cypr,T,50,117,121,142,155
Cypr,T,51,126,155,138,141
Cypr,T,52,115,116,125,168
Czechy,T,1,2143,2321,2305,3847
Czechy,T,2,2126,2290,2325,3751
Czechy,T,3,2230,2311,2244,3598
Czechy,T,4,2190,2365,2337,3449
Czechy,T,5,2216,2497,2364,3273
Czechy,T,6,2404,2445,2355,3442
Czechy,T,7,2602,2509,2391,3472
Czechy,T,8,2754,2496,2350,3631
Czechy,T,9,2819,2313,2360,3921
Czechy,T,10,2994,2383,2294,4028
Czechy,T,11,2782,2262,2295,3834
Czechy,T,12,2607,2198,2325,3471
Czechy,T,13,2383,2124,2297,3388
Czechy,T,14,2262,2131,2320,2948
Czechy,T,15,2257,2145,2244,2639
Czechy,T,16,2061,2094,2125,2511
Czechy,T,17,2090,2103,2036,2475
Czechy,T,18,2022,2051,2109,2305
Czechy,T,19,1958,2093,1999,2247
Czechy,T,20,1962,2025,2026,2052
Czechy,T,21,2013,1995,1919,1959
Czechy,T,22,1995,2093,1939,2054
Czechy,T,23,2038,2020,2135,1967
Czechy,T,24,1863,2145,1983,2055
Czechy,T,25,1964,1980,2022,2002
Czechy,T,26,1940,2067,2082,1887
Czechy,T,27,1979,2046,2111,1935
Czechy,T,28,2041,1956,1999,2030
Czechy,T,29,2039,2034,1989,1959
Czechy,T,30,2153,2171,2088,2108
Czechy,T,31,2379,2010,2227,1911
Czechy,T,32,2118,2027,2166,2031
Czechy,T,33,1923,2026,2187,1983
Czechy,T,34,2004,2011,2104,1955
Czechy,T,35,1902,2151,2033,2002
Czechy,T,36,1979,1922,2038,2073
Czechy,T,37,2014,1944,2089,2125
Czechy,T,38,2056,2030,2220,2097
Czechy,T,39,1906,2157,2392,2075
Czechy,T,40,2123,2153,2381,2111
Czechy,T,41,2076,2197,2609,2217
Czechy,T,42,2014,2099,2946,2311
Czechy,T,43,2024,2139,3647,2570
Czechy,T,44,2148,2066,4226,2691
Czechy,T,45,2046,2110,4238,2884
Czechy,T,46,1991,2231,3852,3047
Czechy,T,47,2141,2173,3424,3235
Czechy,T,48,2095,2134,3169,3385
Czechy,T,49,2194,2078,3100,3373
Czechy,T,50,2136,2226,3104,3130
Czechy,T,51,2303,2248,3242,2933
Czechy,T,52,2145,2245,3214,2770
Dania,T,1,1134,1130,1117,1234
Dania,T,2,1136,1155,1150,1213
Dania,T,3,1156,1118,1071,1270
Dania,T,4,1119,1085,1033,1218
Dania,T,5,1157,1209,1094,1206
Dania,T,6,1186,1250,1079,1113
Dania,T,7,1265,1176,1059,1062
Dania,T,8,1260,1110,1034,970
Dania,T,9,1323,1090,1025,974
Dania,T,10,1337,1051,1061,1052
Dania,T,11,1253,1063,1066,968
Dania,T,12,1286,1039,1140,1034
Dania,T,13,1186,1022,1112,973
Dania,T,14,1138,1085,1156,976
Dania,T,15,1164,1018,1143,1029
Dania,T,16,1052,1046,1078,1060
Dania,T,17,1008,1015,1086,1014
Dania,T,18,1010,1067,1048,1120
Dania,T,19,1025,1028,1027,1046
Dania,T,20,1012,974,951,1049
Dania,T,21,953,970,994,1032
Dania,T,22,977,983,968,1031
Dania,T,23,1009,991,962,1053
Dania,T,24,941,969,1000,1000
Dania,T,25,958,1015,948,1006
Dania,T,26,915,1002,984,1061
Dania,T,27,1007,935,996,956
Dania,T,28,971,953,957,1075
Dania,T,29,994,977,1026,1051
