DATAFLOW,CSE_SEX: Sex,CSE_AGE0_90: Age 0 to 90,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2009-A1,3051,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2010-A1,3097,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2011-A1,3100,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2012-A1,3093,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2013-A1,3133,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2014-A1,2922,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2015-A1,3016,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2016-A1,2818,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2017-A1,2798,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2018-A1,2742,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2019-A1,2644,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2020-A1,2684,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2000-A1,2717,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2001-A1,2535,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2002-A1,2532,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2003-A1,2581,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2004-A1,2588,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2005-A1,2384,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2006-A1,2206,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2007-A1,2145,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2008-A1,2039,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2009-A1,2029,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2010-A1,1984,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2011-A1,1959,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2012-A1,1998,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2013-A1,2048,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2014-A1,2095,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2015-A1,2273,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2016-A1,2259,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2017-A1,2195,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2018-A1,2375,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2019-A1,2480,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_07: 07,A: Annual,2020-A1,2419,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2000-A1,2698,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2001-A1,2663,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2002-A1,2557,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2003-A1,2412,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2004-A1,2376,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2005-A1,2508,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2006-A1,2535,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2007-A1,2665,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2008-A1,2730,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2009-A1,2759,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2010-A1,2828,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2011-A1,2966,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2012-A1,3173,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2013-A1,3177,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2014-A1,3396,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2015-A1,3396,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2016-A1,3608,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2017-A1,3843,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2018-A1,4075,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2019-A1,4717,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_37: 37,A: Annual,2020-A1,4760,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2000-A1,2961,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2001-A1,3102,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2002-A1,3039,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2003-A1,3047,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2004-A1,3096,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2005-A1,2807,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2006-A1,2868,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2007-A1,2809,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2008-A1,2913,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2009-A1,3027,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2010-A1,3096,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2011-A1,3110,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2012-A1,3015,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2013-A1,3013,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2014-A1,3145,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2015-A1,3116,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2016-A1,3079,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2017-A1,2973,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2018-A1,3017,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2019-A1,2947,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_54: 54,A: Annual,2020-A1,2869,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2000-A1,1370,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2001-A1,2033,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2002-A1,2887,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2003-A1,2799,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2004-A1,2960,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2005-A1,3127,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2006-A1,3115,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2007-A1,3086,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2008-A1,3109,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2009-A1,2806,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2010-A1,2839,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2011-A1,2805,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2012-A1,2914,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2013-A1,3020,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2014-A1,3114,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2015-A1,3154,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2016-A1,3097,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2017-A1,3088,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2018-A1,3244,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2019-A1,3221,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),M: Males,AG_58: 58,A: Annual,2020-A1,3213,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2000-A1,5678,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2001-A1,5831,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2002-A1,5699,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2003-A1,5654,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2004-A1,5529,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2005-A1,5387,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2006-A1,5097,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2007-A1,5041,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2008-A1,4924,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2009-A1,4807,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2010-A1,4620,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2011-A1,4365,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2012-A1,4377,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2013-A1,4009,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2014-A1,4027,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2015-A1,4201,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2016-A1,4046,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2017-A1,4156,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2018-A1,4170,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2019-A1,4267,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_12: 12,A: Annual,2020-A1,4551,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2000-A1,5137,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2001-A1,5312,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2002-A1,5491,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2003-A1,5658,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2004-A1,6071,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2005-A1,5959,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2006-A1,5963,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2007-A1,5936,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2008-A1,6136,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2009-A1,6030,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2010-A1,6014,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2011-A1,6369,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2012-A1,6272,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2013-A1,6357,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2014-A1,6621,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2015-A1,6828,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2016-A1,7298,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2017-A1,8214,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2018-A1,9163,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2019-A1,9800,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_29: 29,A: Annual,2020-A1,9794,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2000-A1,3055,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2001-A1,2866,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2002-A1,4251,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2003-A1,5845,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2004-A1,5758,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2005-A1,6097,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),T: Total,AG_59: 59,A: Annual,2006-A1,6368,,
