Source: Hungarian Central Statistical Office[76]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1][63][77]
1940 	9,280,000 	185,562 	132,735 	52,827 	20.0 	14.3 	5.7 	2.48
1941 	9,340,000 	177,047 	123,349 	53,698 	19.0 	13.2 	5.7 	2.52
1942 	9,392,000 	187,187 	136,844 	50,343 	19.9 	14.6 	5.4 	2.55
1943 	9,440,000 	173,295 	127,158 	46,137 	18.4 	13.5 	4.9 	2.55
1944 	9,250,000 	190,000 	144,048 	45,952 	20.5 	15.6 	5.0 	2.61
1945 	9,055,000 	169,091 	211,323 	-42,232 	18.7 	23.3 	-4.7 	2.64
1946 	9,042,000 	169,120 	135,486 	33,634 	18.7 	15.0 	3.7 	2.67
1947 	9,093,000 	187,316 	117,537 	69,779 	20.6 	12.9 	7.7 	2.70
1948 	9,158,000 	191,907 	105,780 	86,127 	21.0 	11.6 	9.4 	2.73
1949 	9,249,000 	190,398 	105,718 	84,680 	20.6 	11.4 	9.2 	2.76
1950 	9,338,000 	195,567 	106,902 	88,665 	20.9 	11.4 	9.5 	2.77
1951 	9,423,000 	190,645 	109,998 	80,647 	20.2 	11.7 	8.6 	2.76
1952 	9,504,000 	185,820 	107,443 	78,377 	19.6 	11.3 	8.2 	2.72
1953 	9,595,000 	206,926 	112,039 	94,887 	21.6 	11.7 	9.9 	2.67
1954 	9,706,000 	223,347 	106,670 	116,677 	23.0 	11.0 	12.0 	2.61
1955 	9,825,000 	210,430 	97,848 	112,582 	21.4 	10.0 	11.5 	2.53
1956 	9,911,000 	192,810 	104,236 	88,574 	19.5 	10.5 	8.9 	2.44
1957 	9,840,000 	167,202 	103,645 	63,557 	17.0 	10.5 	6.5 	2.34
1958 	9,882,000 	158,428 	97,866 	60,562 	16.0 	9.9 	6.1 	2.23
1959 	9,937,000 	151,194 	103,880 	47,314 	15.2 	10.5 	4.8 	2.12
1960 	9,983,512 	146,461 	101,525 	44,936 	14.7 	10.2 	4.5 	2.02
1961 	10,027,958 	140,365 	96,410 	43,955 	14.0 	9.6 	4.4 	1.94
1962 	10,060,825 	130,053 	108,273 	21,780 	12.9 	10.8 	2.2 	1.79
1963 	10,087,947 	132,335 	99,871 	32,464 	13.1 	9.9 	3.2 	1.82
1964 	10,119,835 	132,141 	100,830 	31,311 	13.1 	10.0 	3.1 	1.81
1965 	10,147,935 	133,009 	108,119 	24,890 	13.1 	10.7 	2.5 	1.82
1966 	10,178,653 	138,489 	101,943 	36,546 	13.6 	10.0 	3.6 	1.89
1967 	10,216,604 	148,886 	109,530 	39,356 	14.6 	10.7 	3.9 	2.01
1968 	10,255,815 	154,419 	115,354 	39,065 	15.1 	11.2 	3.8 	2.06
1969 	10,298,723 	154,318 	116,659 	37,659 	15.0 	11.3 	3.7 	2.03
1970 	10,337,910 	151,819 	120,197 	31,622 	14.7 	11.6 	3.1 	1.98
1971 	10,367,537 	150,640 	123,009 	27,631 	14.5 	11.9 	2.7 	1.93
1972 	10,398,489 	153,265 	118,991 	34,274 	14.7 	11.4 	3.3 	1.92
1973 	10,432,055 	156,224 	123,366 	32,858 	15.0 	11.8 	3.1 	1.93
1974 	10,478,720 	186,288 	125,816 	60,472 	17.8 	12.0 	5.8 	2.27
1975 	10,540,525 	194,240 	131,102 	63,138 	18.4 	12.4 	6.0 	2.34
1976 	10,598,677 	185,405 	132,240 	53,165 	17.5 	12.5 	5.0 	2.23
1977 	10,648,031 	177,574 	132,031 	45,543 	16.7 	12.4 	4.3 	2.15
1978 	10,684,822 	168,160 	140,121 	28,039 	15.7 	13.1 	2.6 	2.06
1979 	10,704,152 	160,364 	136,829 	23,535 	15.0 	12.8 	2.2 	2.00
1980 	10,711,122 	148,673 	145,355 	3,318 	13.9 	13.6 	0.3 	1.91
1981 	10,711,848 	142,890 	144,757 	-1,867 	13.3 	13.5 	-0.2 	1.87
1982 	10,705,535 	133,559 	144,318 	-10,759 	12.5 	13.5 	-1.0 	1.79
1983 	10,689,463 	127,258 	148,643 	-21,385 	11.9 	13.9 	-2.0 	1.74
1984 	10,668,095 	125,359 	146,709 	-21,350 	11.8 	13.8 	-2.0 	1.75
1985 	10,648,713 	130,200 	147,614 	-17,414 	12.2 	13.9 	-1.6 	1.85
1986 	10,630,564 	128,204 	147,089 	-18,885 	12.1 	13.8 	-1.8 	1.84
1987 	10,612,741 	125,840 	142,601 	-16,761 	11.9 	13.4 	-1.6 	1.82
1988 	10,596,487 	124,296 	140,042 	-15,746 	11.7 	13.2 	-1.5 	1.81
1989 	10,481,719 	123,304 	144,695 	-21,391 	11.8 	13.8 	-2.0 	1.80
1990 	10,373,988 	125,679 	145,660 	-19,981 	12.1 	14.0 	-1.9 	1.87
1991 	10,373,400 	127,207 	144,813 	-17,606 	12.3 	14.0 	-1.7 	1.88
1992 	10,369,341 	121,724 	148,781 	-27,057 	11.7 	14.3 	-2.6 	1.78
1993 	10,357,523 	117,033 	150,244 	-33,211 	11.3 	14.5 	-3.2 	1.69
1994 	10,343,355 	115,598 	146,889 	-31,291 	11.2 	14.2 	-3.0 	1.64
1995 	10,328,965 	112,054 	145,431 	-33,377 	10.8 	14.1 	-3.2 	1.57
1996 	10,311,238 	105,272 	143,130 	-37,858 	10.2 	13.9 	-3.7 	1.46
1997 	10,290,486 	100,350 	139,434 	-39,084 	9.8 	13.5 	-3.8 	1.38
1998 	10,266,570 	97,301 	140,870 	-43,569 	9.5 	13.7 	-4.2 	1.32
1999 	10,237,530 	94,645 	143,210 	-48,565 	9.2 	14.0 	-4.7 	1.28
2000 	10,210,971 	97,597 	135,601 	-38,004 	9.6 	13.3 	-3.7 	1.32
2001 	10,187,576 	97,047 	132,183 	-35,136 	9.5 	13.0 	-3.4 	1.31
2002 	10,158,608 	96,804 	132,833 	-36,029 	9.5 	13.1 	-3.5 	1.30
2003 	10,129,552 	94,647 	135,823 	-41,176 	9.3 	13.4 	-4.1 	1.27
2004 	10,107,146 	95,137 	132,492 	-37,355 	9.4 	13.1 	-3.7 	1.27
2005 	10,087,065 	97,496 	135,732 	-38,236 	9.7 	13.5 	-3.8 	1.30
2006 	10,071,370 	99,871 	131,603 	-31,732 	9.9 	13.1 	-3.2 	1.34
2007 	10,055,780 	97,613 	132,938 	-35,325 	9.7 	13.2 	-3.5 	1.31
2008 	10,038,188 	99,149 	130,027 	-30,878 	9.9 	13.0 	-3.1 	1.35
2009 	10,022,650 	96,442 	130,414 	-33,972 	9.6 	13.0 	-3.4 	1.32
2010 	10,000,023 	90,335 	130,456 	-40,121 	9.0 	13.0 	-4.0 	1.25
2011 	9,971,727 	88,049 	128,795 	-40,746 	8.8 	12.9 	-4.1 	1.23
2012 	9,920,362 	90,269 	129,440 	-39,171 	9.1 	13.0 	-3.9 	1.34
2013 	9,893,082 	88,689 	126,778 	-38,089 	9.0 	12.8 	-3.9 	1.34
2014 	9,866,468 	91,510 	126,308 	-34,798 	9.3 	12.8 	-3.5 	1.41
2015 	9,843,028 	91,690 	131,697 	-40,007 	9.3 	13.4 	-4.1 	1.44
2016 	9,814,023 	93,063 	127,053 	-33,990 	9.5 	12.9 	-3.5 	1.49
2017 	9,787,966 	91,577 	131,674 	-40,097 	9.4 	13.5 	-4.1 	1.49
2018 	9,775,564 	89,807 	131,045 	-41,238 	9.2 	13.4 	-4.2 	1.49
2019 	9,771,141 	89,193 	129,603 	-40,410 	9.1 	13.3 	-4.1 	1.49
2020 	9,750,149 	92,338 	141,002 	-48,664 	9.5 	14.5 	-5.0 	1.56
2021 	9,730,112 	93,039 	155,621 	-62,582 	9.6 	16.0 	-6.4 	1.59
2022 	9,689,010 	88,491 	136,446 	-47,955 	9.1 	14.1 	-5.0 	1.52
2023 	9,597,085 							
