 	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1][6][9]
1992 	4,286,000 	60,109 	44,731 	15,378 	14.0 	10.4 	3.6 	1.88
1993 	4,312,000 	59,678 	46,597 	13,081 	13.8 	10.8 	3.0 	1.86
1994 	4,325,000 	60,092 	44,071 	16,021 	13.7 	10.2 	3.5 	1.87
1995 	4,359,000 	60,292 	45,190 	15,102 	13.8 	10.4 	3.5 	1.87
1996 	4,381,000 	60,927 	43,860 	17,067 	13.9 	10.0 	3.9 	1.89
1997 	4,405,000 	59,801 	44,595 	15,206 	13.6 	10.1 	3.5 	1.87
1998 	4,431,000 	58,352 	44,112 	14,240 	13.1 	9.9 	3.2 	1.81
1999 	4,462,000 	59,298 	45,170 	14,128 	13.3 	10.1 	3.1 	1.85
2000 	4,491,000 	59,234 	44,002 	15,232 	13.2 	9.8 	3.3 	1.85
2001 	4,514,000 	56,696 	43,981 	12,715 	12.6 	9.8 	2.8 	1.78
2002 	4,538,000 	55,434 	44,465 	10,969 	12.2 	9.9 	2.4 	1.75
2003 	4,565,000 	56,458 	42,478 	13,980 	12.4 	9.4 	3.0 	1.80
2004 	4,592,000 	56,951 	41,200 	15,751 	12.4 	9.1 	3.3 	1.83
2005 	4,623,000 	56,756 	41,232 	15,524 	12.3 	8.9 	3.4 	1.84
2006 	4,661,000 	58,545 	41,253 	17,292 	12.6 	8.8 	3.7 	1.90
2007 	4,709,000 	58,459 	41,954 	16,505 	12.4 	8.9 	3.5 	1.90
2008 	4,768,000 	60,497 	41,712 	18,785 	12.7 	8.7 	3.9 	1.96
2009 	4,829,000 	61,807 	41,449 	20,358 	12.8 	8.6 	4.2 	1.98
2010 	4,889,000 	61,442 	41,499 	19,943 	12.6 	8.5 	4.1 	1.95
2011 	4,953,000 	60,220 	41,393 	18,827 	12.1 	8.3 	3.8 	1.88
2012 	5,019,000 	60,255 	41,992 	18,263 	12.0 	8.4 	3.6 	1.85
2013 	5,079,000 	58,995 	41,282 	17,713 	11.7 	8.1 	3.6 	1.78
2014 	5,137,000 	59,084 	40,394 	18,690 	11.5 	7.9 	3.6 	1.76
2015 	5,165,000 	59,058 	40,727 	18,331 	11.4 	7.9 	3.5 	1.73
2016 	5,213,000 	58,890 	40,726 	18,164 	11.3 	7.8 	3.5 	1.71
2017 	5,258,000 	56,633 	40,774 	15,859 	10.8 	7.8 	3.0 	1.62
2018 	5,296,000 	55,120 	40,840 	14,280 	10.4 	7.7 	2.8 	1.56
2019 	5,328,000 	54,495 	40,684 	13,811 	10.2 	7.6 	2.6 	1.53
2020 	5,367,580 	52,979 	40,611 	12,368 	9.9 	7.5 	2.4 	1.48
2021 	5,391,369 	56,060 	42,002 	14,058 	10.3 	7.7 	2.6 	1.55
2022 	5,425,270 	51,480 	45,774 	5,706 	9.5 	8.4 	1.1 	1.41
2023 	5,488,984 							
