 	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate[fn 1][10]
1936 	3,601,000 	68,895 	49,124 	19,771 	19.1 	13.6 	5.5 	2.31
1937 	3,626,000 	72,319 	46,466 	25,853 	19.9 	12.8 	7.1 	2.52
1938 	3,656,000 	76,695 	46,930 	29,765 	21.0 	12.8 	8.1 	2.52
1939 	3,686,000 	78,164 	52,614 	25,550 	21.2 	14.3 	6.9 	2.56
1940 	3,698,000 	65,849 	71,846 	-5,997[17] 	17.8 	19.4 	-1.6 	2.15
1941 	3,702,000 	89,565 	73,334 	16,231 	24.2 	19.8 	4.4 	2.90
1942 	3,708,000 	61,672 	56,141 	5,531 	16.6 	15.1 	1.5 	2.00
1943 	3,721,000 	76,112 	49,634 	26,478 	20.5 	13.3 	7.1 	2.46
1944 	3,735,000 	79,446 	70,570 	8,876 	21.3 	18.9 	2.4 	2.56
1945 	3,758,000 	95,758 	49,046 	46,712 	25.5 	13.1 	12.4 	3.07
1946 	3,806,000 	106,075 	44,748 	61,327 	27.9 	11.8 	16.1 	3.41
1947 	3,859,000 	108,168 	46,053 	62,115 	28.0 	11.9 	16.1 	3.47
1948 	3,912,000 	107,759 	43,668 	64,091 	27.5 	11.2 	16.4 	3.47
1949 	3,963,000 	103,515 	44,501 	59,014 	26.1 	11.2 	14.9 	3.33
1950 	4,009,000 	98,065 	40,681 	57,384 	24.5 	10.1 	14.3 	3.16
1951 	4,047,000 	93,063 	40,386 	52,677 	23.0 	10.0 	13.0 	3.01
1952 	4,090,000 	94,314 	39,024 	55,290 	23.1 	9.5 	13.5 	3.06
1953 	4,139,000 	90,866 	39,925 	50,941 	22.0 	9.6 	12.3 	2.96
1954 	4,187,000 	89,845 	37,988 	51,857 	21.5 	9.1 	12.4 	2.93
1955 	4,235,000 	89,740 	39,573 	50,167 	21.2 	9.3 	11.8 	2.93
1956 	4,282,000 	88,896 	38,713 	50,183 	20.8 	9.0 	11.7 	2.91
1957 	4,324,000 	86,985 	40,741 	46,244 	20.1 	9.4 	10.7 	2.86
1958 	4,360,000 	81,148 	38,833 	42,315 	18.6 	8.9 	9.7 	2.68
1959 	4,395,000 	83,253 	38,827 	44,426 	18.9 	8.8 	10.1 	2.75
1960 	4,430,000 	82,129 	39,797 	42,332 	18.5 	9.0 	9.6 	2.71
1961 	4,461,000 	81,996 	40,616 	41,380 	18.4 	9.1 	9.3 	2.65
1962 	4,491,000 	81,454 	42,889 	38,565 	18.1 	9.5 	8.6 	2.66
1963 	4,523,000 	82,251 	42,010 	40,241 	18.2 	9.3 	8.9 	2.66
1964 	4,549,000 	80,428 	42,512 	37,916 	17.7 	9.3 	8.3 	2.58
1965 	4,564,000 	77,885 	44,473 	33,412 	17.1 	9.7 	7.3 	2.46
1966 	4,581,000 	77,697 	43,548 	34,149 	17.0 	9.5 	7.5 	2.41
1967 	4,606,000 	77,289 	43,790 	33,499 	16.8 	9.5 	7.3 	2.32
1968 	4,626,000 	73,654 	45,013 	28,641 	15.9 	9.7 	6.2 	2.15
1969 	4,624,000 	67,450 	45,966 	21,484 	14.6 	9.9 	4.6 	1.94
1970 	4,606,000 	64,559 	44,119 	20,440 	14.0 	9.6 	4.4 	1.83
1971 	4,612,000 	61,067 	45,876 	15,191 	13.2 	9.9 	3.3 	1.70
1972 	4,640,000 	58,864 	43,958 	14,906 	12.7 	9.5 	3.2 	1.59
1973 	4,666,000 	56,787 	43,410 	13,377 	12.2 	9.3 	2.9 	1.50
1974 	4,691,000 	62,472 	44,676 	17,796 	13.3 	9.5 	3.8 	1.62
1975 	4,711,000 	65,719 	43,828 	21,891 	14.0 	9.3 	4.6 	1.69
1976 	4,726,000 	66,846 	44,786 	22,060 	14.1 	9.5 	4.7 	1.72
1977 	4,739,000 	65,659 	44,065 	21,594 	13.9 	9.3 	4.6 	1.69
1978 	4,753,000 	63,983 	43,692 	20,291 	13.5 	9.2 	4.3 	1.65
1979 	4,765,000 	63,428 	43,738 	19,690 	13.3 	9.2 	4.1 	1.64
1980 	4,780,000 	63,064 	44,398 	18,666 	13.2 	9.3 	3.9 	1.63
1981 	4,800,000 	63,469 	44,404 	19,065 	13.2 	9.3 	4.0 	1.65
1982 	4,827,000 	66,106 	43,408 	22,698 	13.7 	9.0 	4.7 	1.72
1983 	4,856,000 	66,892 	45,388 	21,504 	13.8 	9.3 	4.4 	1.74
1984 	4,882,000 	65,076 	45,098 	19,978 	13.3 	9.2 	4.1 	1.70
1985 	4,902,000 	62,796 	48,198 	14,598 	12.8 	9.8 	3.0 	1.64
1986 	4,918,000 	60,632 	47,135 	13,497 	12.3 	9.6 	2.7 	1.60
1987 	4,932,000 	59,827 	47,949 	11,878 	12.1 	9.7 	2.4 	1.59
1988 	4,946,000 	63,316 	49,063 	14,253 	12.8 	9.9 	2.9 	1.70
1989 	4,964,000 	63,348 	49,110 	14,238 	12.8 	9.9 	2.9 	1.71
1990 	4,986,000 	65,549 	50,028 	15,521 	13.1 	10.0 	3.1 	1.78
1991 	5,014,000 	65,395 	49,294 	16,101 	13.1 	9.8 	3.3 	1.79
1992 	5,042,000 	66,731 	49,844 	16,887 	13.3 	9.8 	3.4 	1.85
1993 	5,066,000 	64,826 	50,988 	13,838 	12.8 	10.1 	2.7 	1.81
1994 	5,088,000 	65,231 	48,000 	17,231 	12.8 	9.4 	3.4 	1.85
1995 	5,108,000 	63,067 	49,280 	13,787 	12.3 	9.6 	2.7 	1.81
1996 	5,125,000 	60,723 	49,167 	11,556 	11.8 	9.6 	2.3 	1.76
1997 	5,140,000 	59,329 	49,108 	10,221 	11.5 	9.6 	2.0 	1.75
1998 	5,153,000 	57,108 	49,262 	7,846 	11.1 	9.6 	1.5 	1.70
1999 	5,165,000 	57,574 	49,345 	8,229 	11.1 	9.6 	1.6 	1.73
2000 	5,176,000 	56,742 	49,339 	7,403 	11.0 	9.5 	1.4 	1.73
2001 	5,188,000 	56,189 	48,550 	7,639 	10.8 	9.4 	1.5 	1.73
2002 	5,201,000 	55,555 	49,418 	6,137 	10.7 	9.5 	1.2 	1.72
2003 	5,213,000 	56,630 	48,996 	7,634 	10.9 	9.4 	1.5 	1.76
2004 	5,228,000 	57,758 	47,600 	10,158 	11.0 	9.1 	1.9 	1.80
2005 	5,246,000 	57,745 	47,928 	9,817 	11.0 	9.1 	1.9 	1.80
2006 	5,266,000 	58,840 	48,065 	10,775 	11.2 	9.1 	2.0 	1.84
2007 	5,289,000 	58,729 	49,077 	9,652 	11.1 	9.3 	1.8 	1.83
2008 	5,313,000 	59,530 	49,094 	10,436 	11.2 	9.2 	2.0 	1.85
2009 	5,339,000 	60,430 	49,883 	10,547 	11.3 	9.3 	2.0 	1.86
2010 	5,375,000 	60,980 	50,887 	10,193 	11.4 	9.5 	1.9 	1.87
2011 	5,403,000 	59,961 	50,585 	9,376 	11.1 	9.4 	1.7 	1.83
2012 	5,426,000 	59,493 	51,707 	7,786 	11.0 	9.6 	1.4 	1.80
2013 	5,450,000 	58,134 	51,472 	6,662 	10.7 	9.5 	1.2 	1.75
2014 	5,472,000 	57,232 	52,186 	5,046 	10.5 	9.6 	0.9 	1.71
2015 	5,486,000 	55,472 	52,492 	2,980 	10.1 	9.6 	0.5 	1.65
2016 	5,503,000 	52,814 	53,923 	-1,109 	9.6 	9.8 	-0.2 	1.57
2017 	5,509,000 	50,321 	53,722 	-3,401 	9.1 	9.8 	-0.7 	1.49
2018 	5,521,000 	47,577 	54,527 	-6,950 	8.6 	9.9 	-1.3 	1.41
2019 	5,525,292 	45,613 	53,949 	-8,336 	8.3 	9.8 	-1.5 	1.35
2020 	5,536,146 	46,463 	55,488 	-9,025 	8.4 	10.0 	-1.6 	1.37
2021 	5,549,599 	49,594 	57,659 	-8,065 	8.9 	10.4 	-1.5 	1.46
2022 	5,565,519 	44,951 	63,219 	-18,268 	8.1 	11.3 	-3.2 	1.32 
