 	Average population 	Live births 	Deaths 	Nat. change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Nat. change (per 1000) 	Total fertility rate[fn 2]
1936 	3,722,000 	66,418 	40,919 	25,499 	17.8 	11.0 	6.9 	2.14
1937 	3,749,000 	67,440 	40,442 	26,998 	18.0 	10.8 	7.2 	2.16
1938 	3,777,000 	68,463 	39,058 	29,407 	18.1 	10.3 	7.8 	2.18
1939 	3,805,000 	67,914 	38,535 	29,379 	17.8 	10.1 	7.7 	2.16
1940 	3,832,000 	70,121 	39,730 	30,391 	18.3 	10.4 	7.9 	2.22
1941 	3,863,000 	71,306 	39,756 	31,550 	18.5 	10.3 	8.2 	2.24
1942 	3,903,000 	79,545 	37,527 	42,018 	20.4 	9.6 	10.8 	2.50
1943 	3,949,000 	84,319 	37,982 	46,337 	21.4 	9.6 	11.7 	2.65
1944 	3,998,000 	90,641 	41,087 	49,554 	22.7 	10.3 	12.4 	2.84
1945 	4,045,000 	95,062 	42,298 	52,764 	23.5 	10.5 	13.0 	2.98
1946 	4,101,000 	96,111 	42,013 	54,098 	23.4 	10.2 	13.2 	3.02
1947 	4,146,000 	91,714 	40,043 	51,671 	22.1 	9.7 	12.5 	2.90
1948 	4,190,000 	84,938 	35,981 	48,957 	20.3 	8.6 	11.7 	2.71
1949 	4,230,000 	79,919 	37,793 	42,126 	18.9 	8.9 	10.0 	2.58
1950 	4,271,000 	79,558 	39,300 	40,258 	18.6 	9.2 	9.4 	2.57
1951 	4,304,000 	76,559 	37,960 	38,599 	17.8 	8.8 	9.0 	2.50
1952 	4,334,000 	76,943 	39,173 	37,770 	17.8 	9.0 	8.7 	2.53
1953 	4,369,000 	78,261 	39,350 	38,911 	17.9 	9.0 	8.9 	2.60
1954 	4,406,000 	76,365 	39,885 	36,480 	17.3 	9.1 	8.3 	2.55
1955 	4,439,000 	76,845 	38,789 	38,056 	17.3 	8.7 	8.6 	2.58
1956 	4,466,000 	76,725 	39,588 	37,137 	17.2 	8.9 	8.3 	2.61
1957 	4,488,000 	75,264 	41,730 	33,534 	16.8 	9.3 	7.5 	2.57
1958 	4,515,000 	74,681 	41,560 	33,121 	16.5 	9.2 	7.3 	2.55
1959 	4,547,000 	73,928 	42,159 	31,769 	16.3 	9.3 	7.0 	2.52
1960 	4,581,000 	76,077 	43,681 	32,396 	16.6 	9.5 	7.1 	2.57
1961 	4,610,000 	76,439 	43,310 	33,129 	16.6 	9.4 	7.2 	2.55
1962 	4,647,000 	77,808 	45,334 	32,474 	16.7 	9.8 	7.0 	2.58
1963 	4,684,000 	82,413 	45,773 	36,640 	17.6 	9.8 	7.8 	2.64
1964 	4,720,000 	83,356 	46,811 	36,545 	17.7 	9.9 	7.7 	2.60
1965 	4,758,000 	85,796 	47,884 	37,912 	18.0 	10.1 	8.0 	2.61
1966 	4,795,000 	88,332 	49,344 	38,988 	18.4 	10.3 	8.1 	2.62
1967 	4,836,000 	81,410 	47,836 	33,574 	16.8 	9.9 	6.9 	2.35
1968 	4,865,000 	74,543 	47,290 	27,253 	15.3 	9.7 	5.6 	2.12
1969 	4,891,000 	71,298 	47,943 	23,355 	14.6 	9.8 	4.8 	2.00
1970 	4,951,000 	70,802 	48,233 	22,569 	14.3 	9.7 	4.6 	1.95
1971 	4,963,000 	75,359 	48,858 	26,501 	15.2 	9.8 	5.3 	2.04
1972 	4,992,000 	75,505 	50,445 	25,060 	15.1 	10.1 	5.0 	2.03
1973 	5,022,000 	71,895 	50,526 	21,369 	14.3 	10.1 	4.3 	1.9170
1974 	5,045,000 	71,327 	51,637 	19,690 	14.1 	10.2 	3.9 	1.8968
1975 	5,060,000 	72,071 	50,895 	21,176 	14.2 	10.1 	4.1 	1.9188
1976 	5,073,000 	65,267 	54,001 	11,266 	12.9 	10.6 	2.2 	1.7472
1977 	5,088,000 	61,878 	50,485 	11,393 	12.2 	9.9 	2.2 	1.6598
1978 	5,104,000 	62,036 	52,864 	9,172 	12.2 	10.4 	1.8 	1.6685
1979 	5,117,000 	59,464 	54,654 	4,810 	11.6 	10.7 	0.9 	1.6016
1980 	5,123,000 	57,293 	55,939 	1,354 	11.2 	10.9 	0.3 	1.5464
1981 	5,122,000 	53,089 	56,359 	-3,270 	10.4 	11.0 	-0.6 	1.4371
1982 	5,118,000 	52,658 	55,368 	-2,710 	10.3 	10.8 	-0.5 	1.4273
1983 	5,114,000 	50,822 	57,156 	-6,334 	9.9 	11.2 	-1.2 	1.3774
1984 	5,112,000 	51,800 	57,109 	-5,309 	10.1 	11.2 	-1.0 	1.4001
1985 	5,114,000 	53,749 	58,378 	-4,629 	10.5 	11.4 	-0.9 	1.4472
1986 	5,121,000 	55,312 	58,100 	-2,788 	10.8 	11.3 	-0.5 	1.4819
1987 	5,127,000 	56,221 	58,136 	-1,915 	11.0 	11.3 	-0.4 	1.4977
1988 	5,130,000 	58,844 	58,984 	-127 	11.5 	11.5 	-0.0 	1.5618
1989 	5,133,000 	61,351 	59,397 	2,047 	12.0 	11.6 	0.4 	1.6212
1990 	5,140,000 	63,433 	60,926 	2,545 	12.3 	11.9 	0.5 	1.6696
1991 	5,154,000 	64,358 	59,581 	4,777 	12.5 	11.6 	0.9 	1.6844
1992 	5,170,000 	67,726 	60,821 	6,905 	13.1 	11.8 	1.3 	1.7648
1993 	5,189,000 	67,369 	62,809 	4,560 	13.0 	12.1 	0.9 	1.7512
1994 	5,205,000 	69,666 	61,099 	8,567 	13.4 	11.7 	1.6 	1.8091
1995 	5,228,000 	69,771 	63,127 	6,644 	13.3 	12.1 	1.3 	1.8097
1996 	5,262,000 	67,638 	61,043 	6,595 	12.9 	11.6 	1.3 	1.7535
1997 	5,284,000 	67,648 	59,898 	7,750 	12.8 	11.3 	1.5 	1.7562
1998 	5,301,000 	66,174 	58,453 	7,721 	12.5 	11.0 	1.5 	1.7252
1999 	5,322,000 	66,220 	59,179 	7,041 	12.4 	11.1 	1.3 	1.7383
2000 	5,340,000 	67,084 	57,998 	9,086 	12.6 	10.9 	1.7 	1.7742
2001 	5,359,000 	65,458 	58,355 	7,103 	12.2 	10.9 	1.3 	1.7450
2002 	5,375,000 	64,075 	58,610 	5,465 	11.9 	10.9 	1.0 	1.7249
2003 	5,391,000 	64,599 	57,574 	7,025 	12.0 	10.7 	1.3 	1.7599
2004 	5,405,000 	64,609 	55,086 	9,523 	12.0 	10.2 	1.8 	1.7852
2005 	5,419,000 	64,282 	54,962 	9,320 	11.9 	10.1 	1.7 	1.8021
2006 	5,437,000 	64,984 	55,477 	9,507 	12.0 	10.2 	1.7 	1.8476
2007 	5,461,000 	64,082 	55,604 	8,478 	11.7 	10.2 	1.6 	1.8435
2008 	5,494,000 	65,038 	54,591 	10,447 	11.8 	9.9 	1.9 	1.8888
2009 	5,523,000 	62,818 	54,872 	7,946 	11.4 	9.9 	1.4 	1.8396
2010 	5,548,000 	63,411 	54,368 	9,043 	11.4 	9.8 	1.6 	1.8712
2011 	5,571,000 	58,998 	52,516 	6,482 	10.6 	9.4 	1.2 	1.7524
2012 	5,591,000 	57,916 	52,325 	5,591 	10.4 	9.4 	1.0 	1.7292
2013 	5,614,000 	55,844 	52,428 	3,416 	9.9 	9.3 	0.6 	1.6687
2014 	5,659,000 	56,870 	51,340 	5,530 	10.1 	9.1 	1.0 	1.6912
2015 	5,707,000 	58,205 	52,555 	5,650 	10.2 	9.2 	1.0 	1.7136
2016 	5,749,000 	61,614 	52,824 	8,790 	10.7 	9.2 	1.5 	1.7854
2017 	5,781,000 	61,272 	53,261 	8,011 	10.6 	9.2 	1.4 	1.7519
2018 	5,806,000 	61,476 	55,232 	6,244 	10.6 	9.5 	1.1 	1.7297
2019 	5,823,000 	61,167 	53,958 	7,209 	10.5 	9.3 	1.2 	1.6994
2020 	5,840,045 	60,937 	54,645 	6,292 	10.4 	9.4 	1.0 	1.6747
2021 	5,873,420 	63,473 	57,152 	6,321 	10.8 	9.7 	1.1 	1.7241
2022 	5,932,654 	58,430 	59,435 	-1,005 	9.9 	10.0 	-0.1 	1.5529
