DATAFLOW,MONTH: Month,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_B2302(1.0),SL04: April,A: Annual,1994,306,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1995,324,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1996,326,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1997,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1998,348,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1999,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2000,298,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2001,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2002,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2003,302,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2004,284,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2005,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2006,287,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2007,294,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2008,306,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2009,305,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2010,301,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2011,307,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2012,318,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2013,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2014,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2015,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2016,312,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2017,355,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2018,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2019,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2020,396,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2021,362,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,2022,390,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1950,270,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1951,246,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1952,248,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1953,246,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1954,297,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1955,240,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1956,285,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1957,276,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1958,244,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1959,250,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1960,268,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1961,295,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1962,299,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1963,283,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1964,290,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1965,281,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1966,324,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1967,293,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1968,318,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1969,292,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1970,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1971,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1972,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1973,314,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1974,331,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1975,324,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1976,329,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1977,376,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1978,346,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1979,291,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1980,353,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1981,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1982,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1983,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1984,318,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1985,281,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1986,279,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1987,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1988,303,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1989,295,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1990,304,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1991,289,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1992,302,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1993,308,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1994,325,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1995,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1996,302,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1997,325,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1998,295,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,1999,300,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2000,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2001,295,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2002,271,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2003,368,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2004,282,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2005,258,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2006,304,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2007,298,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2008,312,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2009,281,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2010,289,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2011,331,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2012,302,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2013,300,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2014,294,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2015,305,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2016,318,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2017,297,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2018,365,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2019,342,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2020,363,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2021,316,,,,,,0: Zero
LU1:DF_B2302(1.0),SL08: August,A: Annual,2022,356,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1950,243,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1951,224,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1952,284,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1953,233,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1954,250,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1955,264,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1956,269,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1957,284,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1958,261,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1959,251,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1960,271,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1961,288,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1962,286,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1963,255,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1964,294,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1965,277,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1966,304,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1967,327,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1968,284,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1969,338,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1970,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1971,310,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1972,313,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1973,308,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1974,312,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1975,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1976,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1977,313,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1978,301,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1979,329,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1980,296,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1981,310,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1982,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1983,307,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1984,307,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1985,295,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1986,301,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1987,315,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1988,293,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1989,297,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1990,275,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1991,277,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1992,247,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1993,300,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1994,292,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1995,294,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1996,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1997,270,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1998,286,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,1999,306,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2000,279,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2001,274,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2002,265,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2003,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2004,278,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2005,265,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2006,276,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2007,312,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2008,264,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2009,273,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2010,265,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2011,255,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2012,298,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2013,272,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2014,340,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2015,309,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2016,300,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2017,349,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2018,306,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2019,328,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2020,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2021,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL09: September,A: Annual,2022,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1950,330,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1951,329,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1952,308,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1953,441,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1954,322,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1955,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1956,361,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1957,358,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1958,366,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1959,341,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1960,369,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1961,351,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1962,357,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1963,364,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1964,394,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1965,360,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1966,388,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1967,366,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1968,380,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1969,394,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1970,438,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1971,386,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1972,416,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1973,428,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1974,381,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1975,374,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1976,368,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1977,377,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1978,379,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1979,375,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1980,366,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1981,402,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1982,372,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1983,348,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1984,365,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1985,404,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1986,351,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1987,355,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1988,336,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1989,334,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1990,359,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1991,280,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1992,496,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1993,320,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1994,354,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1995,346,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1996,368,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1997,383,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1998,337,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,1999,364,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2000,403,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2001,356,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2002,354,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2003,359,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2004,375,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2005,336,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2006,352,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2007,348,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2008,340,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2009,400,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2010,351,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2011,387,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2012,323,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2013,378,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2014,343,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2015,403,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2016,361,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2017,468,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2018,396,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2019,393,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2020,383,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2021,439,,,,,,0: Zero
LU1:DF_B2302(1.0),SL01: January,A: Annual,2022,395,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1950,307,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1951,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1952,338,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1953,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1954,300,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1955,308,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1956,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1957,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1958,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1959,331,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1960,332,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1961,345,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1962,379,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1963,350,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1964,335,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1965,352,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1966,382,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1967,363,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1968,404,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1969,443,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1970,377,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1971,542,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1972,384,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1973,360,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1974,488,,,,,,0: Zero
LU1:DF_B2302(1.0),SL12: December,A: Annual,1975,397,,,,,,0: Zero
