Source: Statistical Office of the Republic of Slovenia[18]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1983 	1,933,104 	27,200 	20,703 	6,497 	14.1 	10.7 	3.4 	1.81 	483,848
1984 	1,942,802 	26,274 	20,214 	6,060 	13.5 	10.4 	3.1 	1.75 	485,852
1985 	1,973,151 	25,933 	19,854 	6,079 	13.1 	10.1 	3.1 	1.72 	488,181
1986 	1,980,718 	25,570 	19,499 	6,071 	12.9 	9.8 	3.1 	1.67 	496,670
1987 	1,989,462 	25,592 	19,837 	5,755 	12.9 	10.0 	2.9 	1.65 	505,330
1988 	1,999,988 	25,209 	19,126 	6,083 	12.6 	9.6 	3.0 	1.63 	507,570
1989 	1,999,404 	23,447 	18,669 	4,778 	11.7 	9.3 	2.4 	1.53 	508,739
1990 	1,998,090 	22,368 	18,555 	3,813 	11.2 	9.3 	1.9 	1.46 	510,180
1991 	2,001,768 	21,583 	19,324 	2,259 	10.8 	9.7 	1.1 	1.42 	511,850
1992 	1,995,832 	19,982 	19,333 	649 	10.0 	9.7 	0.3 	1.33 	512,188
1993 	1,990,623 	19,793 	20,012 	-219 	9.9 	10.1 	-0.1 	1.33 	511,701
1994 	1,988,850 	19,463 	19,359 	104 	9.8 	9.7 	0.1 	1.32 	512,918
1995 	1,987,505 	18,980 	18,968 	12 	9.5 	9.5 	0.0 	1.29 	515,495
1996 	1,991,169 	18,788 	18,620 	168 	9.4 	9.4 	0.1 	1.28 	516,639
1997 	1,986,848 	18,165 	18,928 	-763 	9.1 	9.5 	-0.4 	1.25 	516,407
1998 	1,982,603 	17,856 	19,039 	-1,183 	9.0 	9.6 	-0.6 	1.23 	516,296
1999 	1,985,557 	17,533 	18,885 	-1,352 	8.8 	9.5 	-0.7 	1.21 	516,261
2000 	1,990,272 	18,180 	18,588 	-408 	9.1 	9.3 	-0.2 	1.26 	515,258
2001 	1,992,035 	17,477 	18,508 	-1,031 	8.8 	9.3 	-0.5 	1.21 	512,358
2002 	1,995,718 	17,501 	18,701 	-1,200 	8.8 	9.4 	-0.6 	1.21 	510,692
2003 	1,996,773 	17,321 	19,451 	-2,130 	8.7 	9.7 	-1.1 	1.21 	507,713
2004 	1,997,004 	17,961 	18,523 	-562 	9.0 	9.3 	-0.3 	1.25 	504,530
2005 	2,001,114 	18,157 	18,825 	-668 	9.1 	9.4 	-0.3 	1.26 	500,449
2006 	2,008,516 	18,932 	18,180 	752 	9.4 	9.1 	0.4 	1.32 	496,853
2007 	2,019,406 	19,823 	18,584 	1,239 	9.8 	9.2 	0.6 	1.39 	491,536
2008 	2,022,629 	21,817 	18,308 	3,509 	10.8 	9.1 	1.7 	1.54 	486,506
2009 	2,042,335 	21,856 	18,750 	3,106 	10.7 	9.2 	1.5 	1.54 	483,680
2010 	2,049,261 	22,343 	18,609 	3,734 	10.9 	9.1 	1.8 	1.58 	479,815
2011 	2,052,496 	21,947 	18,699 	3,248 	10.7 	9.1 	1.6 	1.57 	474,646
2012 	2,056,262 	21,938 	19,257 	2,681 	10.7 	9.4 	1.3 	1.59 	469,442
2013 	2,059,114 	21,111 	19,334 	1,777 	10.3 	9.4 	0.9 	1.55 	463,138
2014 	2,061,623 	21,165 	18,886 	2,279 	10.3 	9.2 	1.1 	1.58 	456,811
2015 	2,063,077 	20,641 	19,834 	807 	10.0 	9.6 	0.4 	1.58 	450,224
2016 	2,064,241 	20,345 	19,689 	656 	9.9 	9.5 	0.3 	1.59 	443,390
2017 	2,066,161 	20,241 	20,509 	-268 	9.8 	9.9 	-0.1 	1.62 	436,478
2018[19] 	2,070,050 	19,585 	20,485 	-900 	9.5 	9.9 	-0.4 	1.61 	430,225
2019[20][21] 	2,089,310 	19,328 	20,588 	-1,260 	9.3 	9.9 	-0.6 	1.61 	428,255
2020[22][23] 	2,100,126 	18,767 	24,016 	-5,249 	8.9 	11.4 	-2.5 	1.60 	426,155
2021[24][25] 	2,107,007 	18,984 	23,261 	-4,277 	9.0 	11.0 	-2.0 	1.64 	425,310
2022 	2,108,732 	17,627 	22,492 	-4,865 	8.4 	10.7 	-2.3 	1.55 	423,301
